================================================================================
Spectrum 24
================================================================================

Spectrum Information:
--------------------------------------------------------------------------------
Precursor m/z: 699.4117
Precursor charge: 2+
Ground truth: ISAPIGGGWVIISK
Ground truth (normalized): ISAPIGGGWVIISK

Beam Search Results:
--------------------------------------------------------------------------------
Total candidates: 1000
Passed mass check: 354
Used for reranking: 354

Candidate Statistics:
--------------------------------------------------------------------------------
Total candidates: 1000
Passed mass check: 354 (35.4%)
Database matches: 353 (35.3%)
Prosit predictions: 1 (0.1%)
Failed: 0 (0.0%)

Ground Truth Analysis:
--------------------------------------------------------------------------------
Ground truth found: ✓
Rank in beam search: 1/1000
Rank by similarity: 1/1000
Similarity: 0.9600
Source: Database
Passed mass check: ✓

All 1000 Candidates (sorted by similarity):
------------------------------------------------------------------------------------------------------------------------
Rank  Peptide                  Similarity  Source      BeamScore   Mass        Pass    Correct
------------------------------------------------------------------------------------------------------------------------
1     LSAPLGGGWVLLSK           0.9600      Database    -1.4265     1396.8078   ✓       ✓
2     LSAPLGGGWVLLSK           0.9600      Database    -1.8096     1396.8078   ✓       ✓
3     LSAPLGGGWVLLSK           0.9600      Database    -2.2791     1396.8078   ✓       ✓
4     LSAPLGGGWVLLSK           0.9600      Database    -2.5521     1396.8078   ✓       ✓
5     LSAPLGGGWVLLSK           0.9600      Database    -2.6621     1396.8078   ✓       ✓
6     LSAPLGGGWVLLSK           0.9600      Database    -2.9352     1396.8078   ✓       ✓
7     LSAPLGGGWVLLSK           0.9600      Database    -3.2836     1396.8078   ✓       ✓
8     LSAPLGGGWVLLSK           0.9600      Database    -3.4047     1396.8078   ✓       ✓
9     LSAPLGGGWVLLSK           0.9600      Database    -3.6666     1396.8078   ✓       ✓
10    LSAPLGGGWVLLSK           0.9600      Database    -3.7877     1396.8078   ✓       ✓
11    LSAPLGGGWVLLSK           0.9600      Database    -3.8738     1396.8078   ✓       ✓
12    LSAPLGGGWVLLSK           0.9600      Database    -4.1361     1396.8078   ✓       ✓
13    LSAPLGGGWVLLSK           0.9600      Database    -4.2568     1396.8078   ✓       ✓
14    LSAPLGGGWVLLSK           0.9600      Database    -4.4092     1396.8078   ✓       ✓
15    LSAPLGGGWVLLSK           0.9600      Database    -4.5191     1396.8078   ✓       ✓
16    LSAPLGGGWVLLSK           0.9600      Database    -4.6956     1396.8078   ✓       ✓
17    LSAPLGGGWVLLSK           0.9600      Database    -4.7922     1396.8078   ✓       ✓
18    LSAPLGGGWVLLSK           0.9600      Database    -5.0786     1396.8078   ✓       ✓
19    LSAPLGGGWVLLSK           0.9600      Database    -5.2617     1396.8078   ✓       ✓
20    LSAPLGGGWVLLSK           0.9600      Database    -5.5481     1396.8078   ✓       ✓
21    LSAPLGGGWVLLSK           0.9600      Database    -5.6447     1396.8078   ✓       ✓
22    LSAPLGGGWVLLSK           0.9600      Database    -5.7308     1396.8078   ✓       ✓
23    LSAPLGGGWVLLSK           0.9600      Database    -5.8212     1396.8078   ✓       ✓
24    LSAPLGGGWVLLSK           0.9600      Database    -5.8519     1396.8078   ✓       ✓
25    LSAPLGGGWVLLSK           0.9600      Database    -5.9312     1396.8078   ✓       ✓
26    LSAPLGGGWVLLSK           0.9600      Database    -6.1138     1396.8078   ✓       ✓
27    LSAPLGGGWVLLSK           0.9600      Database    -6.2042     1396.8078   ✓       ✓
28    LSAPLGGGWVLLSK           0.9600      Database    -6.2349     1396.8078   ✓       ✓
29    LSAPLGGGWVLLSK           0.9600      Database    -6.5526     1396.8078   ✓       ✓
30    LSAPLGGGWVLLSK           0.9600      Database    -6.6737     1396.8078   ✓       ✓
31    LSAPLGGGWVLLSK           0.9600      Database    -6.9357     1396.8078   ✓       ✓
32    LSAPLGGGWVLLSK           0.9600      Database    -6.9794     1396.8078   ✓       ✓
33    LSAPLGGGWVLLSK           0.9600      Database    -7.0568     1396.8078   ✓       ✓
34    LSAPLGGGWVLLSK           0.9600      Database    -7.1428     1396.8078   ✓       ✓
35    LSAPLGGGWVLLSK           0.9600      Database    -7.3625     1396.8078   ✓       ✓
36    LSAPLGGGWVLLSK           0.9600      Database    -7.4052     1396.8078   ✓       ✓
37    LSAPLGGGWVLLSK           0.9600      Database    -7.5259     1396.8078   ✓       ✓
38    LSAPLGGGWVLLSK           0.9600      Database    -7.6782     1396.8078   ✓       ✓
39    LSAPLGGGWVLLSK           0.9600      Database    -7.7089     1396.8078   ✓       ✓
40    LSAPLGGGWVLLSK           0.9600      Database    -7.7882     1396.8078   ✓       ✓
41    LSAPLGGGWVLLSK           0.9600      Database    -7.8320     1396.8078   ✓       ✓
42    LSAPLGGGWVLLSK           0.9600      Database    -8.0613     1396.8078   ✓       ✓
43    LSAPLGGGWVLLSK           0.9600      Database    -8.0920     1396.8078   ✓       ✓
44    LSAPLGGGWVLLSK           0.9600      Database    -8.1050     1396.8078   ✓       ✓
45    LSAPLGGGWVLLSK           0.9600      Database    -8.2150     1396.8078   ✓       ✓
46    LSAPLGGGWVLLSK           0.9600      Database    -8.4881     1396.8078   ✓       ✓
47    LSAPLGGGWVLLSK           0.9600      Database    -8.5308     1396.8078   ✓       ✓
48    LSAPLGGGWVLLSK           0.9600      Database    -8.8365     1396.8078   ✓       ✓
49    LSAPLGGGWVLLSK           0.9600      Database    -8.9138     1396.8078   ✓       ✓
50    LSAPLGGGWVLLSK           0.9600      Database    -8.9576     1396.8078   ✓       ✓
51    LSAPLGGGWVLLSK           0.9600      Database    -8.9998     1396.8078   ✓       ✓
52    LSAPLGGGWVLLSK           0.9600      Database    -9.1209     1396.8078   ✓       ✓
53    LSAPLGGGWVLLSK           0.9600      Database    -9.2195     1396.8078   ✓       ✓
54    LSAPLGGGWVLLSK           0.9600      Database    -9.3406     1396.8078   ✓       ✓
55    LSAPLGGGWVLLSK           0.9600      Database    -9.3829     1396.8078   ✓       ✓
56    LSAPLGGGWVLLSK           0.9600      Database    -9.4267     1396.8078   ✓       ✓
57    LSAPLGGGWVLLSK           0.9600      Database    -9.4781     1396.8078   ✓       ✓
58    LSAPLGGGWVLLSK           0.9600      Database    -9.5040     1396.8078   ✓       ✓
59    LSAPLGGGWVLLSK           0.9600      Database    -9.6890     1396.8078   ✓       ✓
60    LSAPLGGGWVLLSK           0.9600      Database    -9.7117     1396.8078   ✓       ✓
61    LSAPLGGGWVLLSK           0.9600      Database    -9.8097     1396.8078   ✓       ✓
62    LSAPLGGGWVLLSK           0.9600      Database    -9.8612     1396.8078   ✓       ✓
63    LSAPLGGGWVLLSK           0.9600      Database    -9.9621     1396.8078   ✓       ✓
64    LSAPLGGGWVLLSK           0.9600      Database    -10.0721    1396.8078   ✓       ✓
65    LSAPLGGGWVLLSK           0.9600      Database    -10.0948    1396.8078   ✓       ✓
66    LSAPLGGGWVLLSK           0.9600      Database    -10.2485    1396.8078   ✓       ✓
67    LSAPLGGGWVLLSK           0.9600      Database    -10.3451    1396.8078   ✓       ✓
68    LSAPLGGGWVLLSK           0.9600      Database    -10.5643    1396.8078   ✓       ✓
69    LSAPLGGGWVLLSK           0.9600      Database    -10.6037    1396.8078   ✓       ✓
70    LSAPLGGGWVLLSK           0.9600      Database    -10.6316    1396.8078   ✓       ✓
71    LSAPLGGGWVLLSK           0.9600      Database    -10.6448    1396.8078   ✓       ✓
72    LSAPLGGGWVLLSK           0.9600      Database    -10.8146    1396.8078   ✓       ✓
73    LSAPLGGGWVLLSK           0.9600      Database    -10.8373    1396.8078   ✓       ✓
74    LSAPLGGGWVLLSK           0.9600      Database    -10.9473    1396.8078   ✓       ✓
75    LSAPLGGGWVLLSK           0.9600      Database    -10.9780    1396.8078   ✓       ✓
76    LSAPLGGGWVLLSK           0.9600      Database    -10.9868    1396.8078   ✓       ✓
77    LSAPLGGGWVLLSK           0.9600      Database    -11.0278    1396.8078   ✓       ✓
78    LSAPLGGGWVLLSK           0.9600      Database    -11.1010    1396.8078   ✓       ✓
79    LSAPLGGGWVLLSK           0.9600      Database    -11.1977    1396.8078   ✓       ✓
80    LSAPLGGGWVLLSK           0.9600      Database    -11.2204    1396.8078   ✓       ✓
81    LSAPLGGGWVLLSK           0.9600      Database    -11.2837    1396.8078   ✓       ✓
82    LSAPLGGGWVLLSK           0.9600      Database    -11.3352    1396.8078   ✓       ✓
83    LSAPLGGGWVLLSK           0.9600      Database    -11.3610    1396.8078   ✓       ✓
84    LSAPLGGGWVLLSK           0.9600      Database    -11.3741    1396.8078   ✓       ✓
85    LSAPLGGGWVLLSK           0.9600      Database    -11.4048    1396.8078   ✓       ✓
86    LSAPLGGGWVLLSK           0.9600      Database    -11.4841    1396.8078   ✓       ✓
87    LSAPLGGGWVLLSK           0.9600      Database    -11.4973    1396.8078   ✓       ✓
88    LSAPLGGGWVLLSK           0.9600      Database    -11.5688    1396.8078   ✓       ✓
89    LSAPLGGGWVLLSK           0.9600      Database    -11.6667    1396.8078   ✓       ✓
90    LSAPLGGGWVLLSK           0.9600      Database    -11.6899    1396.8078   ✓       ✓
91    LSAPLGGGWVLLSK           0.9600      Database    -11.7182    1396.8078   ✓       ✓
92    LSAPLGGGWVLLSK           0.9600      Database    -11.7572    1396.8078   ✓       ✓
93    LSAPLGGGWVLLSK           0.9600      Database    -11.7704    1396.8078   ✓       ✓
94    LSAPLGGGWVLLSK           0.9600      Database    -11.7878    1396.8078   ✓       ✓
95    LSAPLGGGWVLLSK           0.9600      Database    -11.8803    1396.8078   ✓       ✓
96    LSAPLGGGWVLLSK           0.9600      Database    -11.9253    1396.8078   ✓       ✓
97    LSAPLGGGWVLLSK           0.9600      Database    -11.9518    1396.8078   ✓       ✓
98    LSAPLGGGWVLLSK           0.9600      Database    -11.9743    1396.8078   ✓       ✓
99    LSAPLGGGWVLLSK           0.9600      Database    -12.0479    1396.8078   ✓       ✓
100   LSAPLGGGWVLLSK           0.9600      Database    -12.0729    1396.8078   ✓       ✓
101   LSAPLGGGWVLLSK           0.9600      Database    -12.1055    1396.8078   ✓       ✓
102   LSAPLGGGWVLLSK           0.9600      Database    -12.1534    1396.8078   ✓       ✓
103   LSAPLGGGWVLLSK           0.9600      Database    -12.1589    1396.8078   ✓       ✓
104   LSAPLGGGWVLLSK           0.9600      Database    -12.2266    1396.8078   ✓       ✓
105   LSAPLGGGWVLLSK           0.9600      Database    -12.3084    1396.8078   ✓       ✓
106   LSAPLGGGWVLLSK           0.9600      Database    -12.3573    1396.8078   ✓       ✓
107   LSAPLGGGWVLLSK           0.9600      Database    -12.4213    1396.8078   ✓       ✓
108   LSAPLGGGWVLLSK           0.9600      Database    -12.4310    1396.8078   ✓       ✓
109   LSAPLGGGWVLLSK           0.9600      Database    -12.4608    1396.8078   ✓       ✓
110   LSAPLGGGWVLLSK           0.9600      Database    -12.4886    1396.8078   ✓       ✓
111   LSAPLGGGWVLLSK           0.9600      Database    -12.5018    1396.8078   ✓       ✓
112   LSAPLGGGWVLLSK           0.9600      Database    -12.5420    1396.8078   ✓       ✓
113   LSAPLGGGWVLLSK           0.9600      Database    -12.6097    1396.8078   ✓       ✓
114   LSAPLGGGWVLLSK           0.9600      Database    -12.6229    1396.8078   ✓       ✓
115   LSAPLGGGWVLLSK           0.9600      Database    -12.6292    1396.8078   ✓       ✓
116   LSAPLGGGWVLLSK           0.9600      Database    -12.6944    1396.8078   ✓       ✓
117   LSAPLGGGWVLLSK           0.9600      Database    -12.6957    1396.8078   ✓       ✓
118   LSAPLGGGWVLLSK           0.9600      Database    -12.7472    1396.8078   ✓       ✓
119   LSAPLGGGWVLLSK           0.9600      Database    -12.7771    1396.8078   ✓       ✓
120   LSAPLGGGWVLLSK           0.9600      Database    -12.7779    1396.8078   ✓       ✓
121   LSAPLGGGWVLLSK           0.9600      Database    -12.8043    1396.8078   ✓       ✓
122   LSAPLGGGWVLLSK           0.9600      Database    -12.8198    1396.8078   ✓       ✓
123   LSAPLGGGWVLLSK           0.9600      Database    -12.8268    1396.8078   ✓       ✓
124   LSAPLGGGWVLLSK           0.9600      Database    -12.8438    1396.8078   ✓       ✓
125   LSAPLGGGWVLLSK           0.9600      Database    -12.8848    1396.8078   ✓       ✓
126   LSAPLGGGWVLLSK           0.9600      Database    -12.8859    1396.8078   ✓       ✓
127   LSAPLGGGWVLLSK           0.9600      Database    -12.9005    1396.8078   ✓       ✓
128   LSAPLGGGWVLLSK           0.9600      Database    -12.9581    1396.8078   ✓       ✓
129   LSAPLGGGWVLLSK           0.9600      Database    -12.9808    1396.8078   ✓       ✓
130   LSAPLGGGWVLLSK           0.9600      Database    -13.0059    1396.8078   ✓       ✓
131   LSAPLGGGWVLLSK           0.9600      Database    -13.0122    1396.8078   ✓       ✓
132   LSAPLGGGWVLLSK           0.9600      Database    -13.0774    1396.8078   ✓       ✓
133   LSAPLGGGWVLLSK           0.9600      Database    -13.0788    1396.8078   ✓       ✓
134   LSAPLGGGWVLLSK           0.9600      Database    -13.0920    1396.8078   ✓       ✓
135   LSAPLGGGWVLLSK           0.9600      Database    -13.0999    1396.8078   ✓       ✓
136   LSAPLGGGWVLLSK           0.9600      Database    -13.1302    1396.8078   ✓       ✓
137   LSAPLGGGWVLLSK           0.9600      Database    -13.1609    1396.8078   ✓       ✓
138   LSAPLGGGWVLLSK           0.9600      Database    -13.2028    1396.8078   ✓       ✓
139   LSAPLGGGWVLLSK           0.9600      Database    -13.2099    1396.8078   ✓       ✓
140   LSAPLGGGWVLLSK           0.9600      Database    -13.2311    1396.8078   ✓       ✓
141   LSAPLGGGWVLLSK           0.9600      Database    -13.2392    1396.8078   ✓       ✓
142   LSAPLGGGWVLLSK           0.9600      Database    -13.2618    1396.8078   ✓       ✓
143   LSAPLGGGWVLLSK           0.9600      Database    -13.2690    1396.8078   ✓       ✓
144   LSAPLGGGWVLLSK           0.9600      Database    -13.2835    1396.8078   ✓       ✓
145   LSAPLGGGWVLLSK           0.9600      Database    -13.3411    1396.8078   ✓       ✓
146   LSAPLGGGWVLLSK           0.9600      Database    -13.3543    1396.8078   ✓       ✓
147   LSAPLGGGWVLLSK           0.9600      Database    -13.3638    1396.8078   ✓       ✓
148   LSAPLGGGWVLLSK           0.9600      Database    -13.4750    1396.8078   ✓       ✓
149   LSAPLGGGWVLLSK           0.9600      Database    -13.4817    1396.8078   ✓       ✓
150   LSAPLGGGWVLLSK           0.9600      Database    -13.4829    1396.8078   ✓       ✓
151   LSAPLGGGWVLLSK           0.9600      Database    -13.5469    1396.8078   ✓       ✓
152   LSAPLGGGWVLLSK           0.9600      Database    -13.6142    1396.8078   ✓       ✓
153   LSAPLGGGWVLLSK           0.9600      Database    -13.6222    1396.8078   ✓       ✓
154   LSAPLGGGWVLLSK           0.9600      Database    -13.6274    1396.8078   ✓       ✓
155   LSAPLGGGWVLLSK           0.9600      Database    -13.6296    1396.8078   ✓       ✓
156   LSAPLGGGWVLLSK           0.9600      Database    -13.6449    1396.8078   ✓       ✓
157   LSAPLGGGWVLLSK           0.9600      Database    -13.6723    1396.8078   ✓       ✓
158   LSAPLGGGWVLLSK           0.9600      Database    -13.7374    1396.8078   ✓       ✓
159   LSAPLGGGWVLLSK           0.9600      Database    -13.7385    1396.8078   ✓       ✓
160   LSAPLGGGWVLLSK           0.9600      Database    -13.7548    1396.8078   ✓       ✓
161   LSAPLGGGWVLLSK           0.9600      Database    -13.7824    1396.8078   ✓       ✓
162   LSAPLGGGWVLLSK           0.9600      Database    -13.8313    1396.8078   ✓       ✓
163   LSAPLGGGWVLLSK           0.9600      Database    -13.8333    1396.8078   ✓       ✓
164   LSAPLGGGWVLLSK           0.9600      Database    -13.8647    1396.8078   ✓       ✓
165   LSAPLGGGWVLLSK           0.9600      Database    -13.8728    1396.8078   ✓       ✓
166   LSAPLGGGWVLLSK           0.9600      Database    -13.9027    1396.8078   ✓       ✓
167   LSAPLGGGWVLLSK           0.9600      Database    -13.9050    1396.8078   ✓       ✓
168   LSAPLGGGWVLLSK           0.9600      Database    -13.9138    1396.8078   ✓       ✓
169   LSAPLGGGWVLLSK           0.9600      Database    -13.9299    1396.8078   ✓       ✓
170   LSAPLGGGWVLLSK           0.9600      Database    -13.9454    1396.8078   ✓       ✓
171   LSAPLGGGWVLLSK           0.9600      Database    -13.9524    1396.8078   ✓       ✓
172   LSAPLGGGWVLLSK           0.9600      Database    -14.0104    1396.8078   ✓       ✓
173   LSAPLGGGWVLLSK           0.9600      Database    -14.0115    1396.8078   ✓       ✓
174   LSAPLGGGWVLLSK           0.9600      Database    -14.0160    1396.8078   ✓       ✓
175   LSAPLGGGWVLLSK           0.9600      Database    -14.0553    1396.8078   ✓       ✓
176   LSAPLGGGWVLLSK           0.9600      Database    -14.0837    1396.8078   ✓       ✓
177   LSAPLGGGWVLLSK           0.9600      Database    -14.0917    1396.8078   ✓       ✓
178   LSAPLGGGWVLLSK           0.9600      Database    -14.1064    1396.8078   ✓       ✓
179   LSAPLGGGWVLLSK           0.9600      Database    -14.1215    1396.8078   ✓       ✓
180   LSAPLGGGWVLLSK           0.9600      Database    -14.1371    1396.8078   ✓       ✓
181   LSAPLGGGWVLLSK           0.9600      Database    -14.1378    1396.8078   ✓       ✓
182   LSAPLGGGWVLLSK           0.9600      Database    -14.1654    1396.8078   ✓       ✓
183   LSAPLGGGWVLLSK           0.9600      Database    -14.2144    1396.8078   ✓       ✓
184   LSAPLGGGWVLLSK           0.9600      Database    -14.2164    1396.8078   ✓       ✓
185   LSAPLGGGWVLLSK           0.9600      Database    -14.2221    1396.8078   ✓       ✓
186   LSAPLGGGWVLLSK           0.9600      Database    -14.2558    1396.8078   ✓       ✓
187   LSAPLGGGWVLLSK           0.9600      Database    -14.2880    1396.8078   ✓       ✓
188   LSAPLGGGWVLLSK           0.9600      Database    -14.2969    1396.8078   ✓       ✓
189   LSAPLGGGWVLLSK           0.9600      Database    -14.3284    1396.8078   ✓       ✓
190   LSAPLGGGWVLLSK           0.9600      Database    -14.3323    1396.8078   ✓       ✓
191   LSAPLGGGWVLLSK           0.9600      Database    -14.3324    1396.8078   ✓       ✓
192   LSAPLGGGWVLLSK           0.9600      Database    -14.3355    1396.8078   ✓       ✓
193   LSAPLGGGWVLLSK           0.9600      Database    -14.3648    1396.8078   ✓       ✓
194   LSAPLGGGWVLLSK           0.9600      Database    -14.3946    1396.8078   ✓       ✓
195   LSAPLGGGWVLLSK           0.9600      Database    -14.3990    1396.8078   ✓       ✓
196   LSAPLGGGWVLLSK           0.9600      Database    -14.4215    1396.8078   ✓       ✓
197   LSAPLGGGWVLLSK           0.9600      Database    -14.4667    1396.8078   ✓       ✓
198   LSAPLGGGWVLLSK           0.9600      Database    -14.4748    1396.8078   ✓       ✓
199   LSAPLGGGWVLLSK           0.9600      Database    -14.4799    1396.8078   ✓       ✓
200   LSAPLGGGWVLLSK           0.9600      Database    -14.4862    1396.8078   ✓       ✓
201   LSAPLGGGWVLLSK           0.9600      Database    -14.4894    1396.8078   ✓       ✓
202   LSAPLGGGWVLLSK           0.9600      Database    -14.5201    1396.8078   ✓       ✓
203   LSAPLGGGWVLLSK           0.9600      Database    -14.5528    1396.8078   ✓       ✓
204   LSAPLGGGWVLLSK           0.9600      Database    -14.6042    1396.8078   ✓       ✓
205   LSAPLGGGWVLLSK           0.9600      Database    -14.6051    1396.8078   ✓       ✓
206   LSAPLGGGWVLLSK           0.9600      Database    -14.6073    1396.8078   ✓       ✓
207   LSAPLGGGWVLLSK           0.9600      Database    -14.6341    1396.8078   ✓       ✓
208   LSAPLGGGWVLLSK           0.9600      Database    -14.6349    1396.8078   ✓       ✓
209   LSAPLGGGWVLLSK           0.9600      Database    -14.6739    1396.8078   ✓       ✓
210   LSAPLGGGWVLLSK           0.9600      Database    -14.6768    1396.8078   ✓       ✓
211   LSAPLGGGWVLLSK           0.9600      Database    -14.6839    1396.8078   ✓       ✓
212   LSAPLGGGWVLLSK           0.9600      Database    -14.7155    1396.8078   ✓       ✓
213   LSAPLGGGWVLLSK           0.9600      Database    -14.7430    1396.8078   ✓       ✓
214   LSAPLGGGWVLLSK           0.9600      Database    -14.7478    1396.8078   ✓       ✓
215   LSAPLGGGWVLLSK           0.9600      Database    -14.7552    1396.8078   ✓       ✓
216   LSAPLGGGWVLLSK           0.9600      Database    -14.7575    1396.8078   ✓       ✓
