================================================================================
Spectrum 43
================================================================================

Spectrum Information:
--------------------------------------------------------------------------------
Precursor m/z: 835.8737
Precursor charge: 2+
Ground truth: VC+57.021TPEDMVGFTESAK
Ground truth (normalized): VC+57.021TPEDMVGFTESAK

Beam Search Results:
--------------------------------------------------------------------------------
Total candidates: 1000
Passed mass check: 323
Used for reranking: 323

Candidate Statistics:
--------------------------------------------------------------------------------
Total candidates: 1000
Passed mass check: 323 (32.3%)
Database matches: 165 (16.5%)
Prosit predictions: 157 (15.7%)
Failed: 1 (0.1%)

Ground Truth Analysis:
--------------------------------------------------------------------------------
Ground truth found: ✓
Rank in beam search: 1/1000
Rank by similarity: 1/1000
Similarity: 0.8173
Source: Database
Passed mass check: ✓

All 1000 Candidates (sorted by similarity):
------------------------------------------------------------------------------------------------------------------------
Rank  Peptide                  Similarity  Source      BeamScore   Mass        Pass    Correct
------------------------------------------------------------------------------------------------------------------------
1     VC+57.021TPEDMVGFTESAK   0.8173      Database    -0.1043     1669.7327   ✓       ✓
2     VC+57.021TPEDMVGFTESAK   0.8173      Database    -2.6451     1669.7327   ✓       ✓
3     VC+57.021TPEDMVGFTESAK   0.8173      Database    -3.8394     1669.7327   ✓       ✓
4     VC+57.021TPEDMVGFTESAK   0.8173      Database    -6.3593     1669.7327   ✓       ✓
5     VC+57.021TPEDMVGFTESAK   0.8173      Database    -6.3802     1669.7327   ✓       ✓
6     VC+57.021TPEDMVGFTESAK   0.8173      Database    -8.2885     1669.7327   ✓       ✓
7     VC+57.021TPEDMVGFTESAK   0.8173      Database    -8.9002     1669.7327   ✓       ✓
8     VC+57.021TPEDMVGFTESAK   0.8173      Database    -8.9923     1669.7327   ✓       ✓
9     VC+57.021TPEDMVGFTESAK   0.8173      Database    -10.0944    1669.7327   ✓       ✓
10    VC+57.021TPEDMVGFTESAK   0.8173      Database    -10.8294    1669.7327   ✓       ✓
11    VC+57.021TPEDMVGFTESAK   0.8173      Database    -11.5331    1669.7327   ✓       ✓
12    VC+57.021TPEDMVGFTESAK   0.8173      Database    -12.0236    1669.7327   ✓       ✓
13    VC+57.021TPEDMVGFTESAK   0.8173      Database    -12.6353    1669.7327   ✓       ✓
14    VC+57.021TPEDMVGFTESAK   0.8173      Database    -12.7274    1669.7327   ✓       ✓
15    VC+57.021TPEDMVGFTESAK   0.8173      Database    -12.8406    1669.7327   ✓       ✓
16    VC+57.021TPEDMVGFTESAK   0.8173      Database    -13.3278    1669.7327   ✓       ✓
17    VC+57.021TPEDMVGFTESAK   0.8173      Database    -13.9907    1669.7327   ✓       ✓
18    VC+57.021TPEDMVGFTESAK   0.8173      Database    -14.1873    1669.7327   ✓       ✓
19    VC+57.021TPEDMVGFTESAK   0.8173      Database    -14.5436    1669.7327   ✓       ✓
20    VC+57.021TPEDMVGFTESAK   0.8173      Database    -14.5645    1669.7327   ✓       ✓
21    VC+57.021TPEDMVGFTESAK   0.8173      Database    -14.5914    1669.7327   ✓       ✓
22    VC+57.021TPEDMVGFTESAK   0.8173      Database    -14.7202    1669.7327   ✓       ✓
23    VC+57.021TPEDMVGFTESAK   0.8173      Database    -14.7806    1669.7327   ✓       ✓
24    VC+57.021TPEDMVGFTESAK   0.8173      Database    -14.9411    1669.7327   ✓       ✓
25    VC+57.021TPEDMVGFTESAK   0.8173      Database    -15.0414    1669.7327   ✓       ✓
26    VC+57.021TPEDMVGFTESAK   0.8173      Database    -15.2474    1669.7327   ✓       ✓
27    VC+57.021TPEDMVGFTESAK   0.8173      Database    -15.2682    1669.7327   ✓       ✓
28    VC+57.021TPEDMVGFTESAK   0.8173      Database    -15.3814    1669.7327   ✓       ✓
29    VC+57.021TPEDMVGFTESAK   0.8173      Database    -15.3936    1669.7327   ✓       ✓
30    VC+57.021TPEDMVGFTESAK   0.8173      Database    -15.6165    1669.7327   ✓       ✓
31    VC+57.021TPEDMVGFTESAK   0.8173      Database    -15.8686    1669.7327   ✓       ✓
32    VC+57.021TPEDMVGFTESAK   0.8173      Database    -16.2284    1669.7327   ✓       ✓
33    VC+57.021TPEDMVGFTESAK   0.8173      Database    -16.5315    1669.7327   ✓       ✓
34    VC+57.021TPEDMVGFTESAK   0.8173      Database    -16.7282    1669.7327   ✓       ✓
35    VC+57.021TPEDMVGFTESAK   0.8173      Database    -17.0628    1669.7327   ✓       ✓
36    VC+57.021TPEDMVGFTESAK   0.8173      Database    -17.0844    1669.7327   ✓       ✓
37    VC+57.021TPEDMVGFTESAK   0.8173      Database    -17.1322    1669.7327   ✓       ✓
