================================================================================
Spectrum 53
================================================================================

Spectrum Information:
--------------------------------------------------------------------------------
Precursor m/z: 591.2679
Precursor charge: 3+
Ground truth: YQVSIHESDNPDDPR
Ground truth (normalized): YQVSIHESDNPDDPR

Beam Search Results:
--------------------------------------------------------------------------------
Total candidates: 1000
Passed mass check: 167
Used for reranking: 167

Candidate Statistics:
--------------------------------------------------------------------------------
Total candidates: 1000
Passed mass check: 167 (16.7%)
Database matches: 167 (16.7%)
Prosit predictions: 0 (0.0%)
Failed: 0 (0.0%)

Ground Truth Analysis:
--------------------------------------------------------------------------------
Ground truth found: ✓
Rank in beam search: 30/1000
Rank by similarity: 1/1000
Similarity: 0.7191
Source: Database
Passed mass check: ✓

All 1000 Candidates (sorted by similarity):
------------------------------------------------------------------------------------------------------------------------
Rank  Peptide                  Similarity  Source      BeamScore   Mass        Pass    Correct
------------------------------------------------------------------------------------------------------------------------
1     YQVSLHESDNPDDPR          0.7191      Database    -6.0865     1770.7809   ✓       ✓
2     YQVSLHESDNPDDPR          0.7191      Database    -6.1761     1770.7809   ✓       ✓
3     YQVSLHESDNPDDPR          0.7191      Database    -6.2740     1770.7809   ✓       ✓
4     YQVSLHESDNPDDPR          0.7191      Database    -6.3515     1770.7809   ✓       ✓
5     YQVSLHESDNPDDPR          0.7191      Database    -6.3636     1770.7809   ✓       ✓
6     YQVSLHESDNPDDPR          0.7191      Database    -6.3797     1770.7809   ✓       ✓
7     YQVSLHESDNPDDPR          0.7191      Database    -6.4411     1770.7809   ✓       ✓
8     YQVSLHESDNPDDPR          0.7191      Database    -6.4693     1770.7809   ✓       ✓
9     YQVSLHESDNPDDPR          0.7191      Database    -6.5390     1770.7809   ✓       ✓
10    YQVSLHESDNPDDPR          0.7191      Database    -6.5672     1770.7809   ✓       ✓
11    YQVSLHESDNPDDPR          0.7191      Database    -6.6286     1770.7809   ✓       ✓
12    YQVSLHESDNPDDPR          0.7191      Database    -6.6447     1770.7809   ✓       ✓
13    YQVSLHESDNPDDPR          0.7191      Database    -6.6568     1770.7809   ✓       ✓
14    YQVSLHESDNPDDPR          0.7191      Database    -6.7343     1770.7809   ✓       ✓
15    YQVSLHESDNPDDPR          0.7191      Database    -6.8322     1770.7809   ✓       ✓
16    YQVSLHESDNPDDPR          0.7191      Database    -6.8522     1770.7809   ✓       ✓
17    YQVSLHESDNPDDPR          0.7191      Database    -6.9218     1770.7809   ✓       ✓
18    YQVSLHESDNPDDPR          0.7191      Database    -7.0397     1770.7809   ✓       ✓
19    YQVSLHESDNPDDPR          0.7191      Database    -7.1172     1770.7809   ✓       ✓
20    YQVSLHESDNPDDPR          0.7191      Database    -7.1454     1770.7809   ✓       ✓
21    YQVSLHESDNPDDPR          0.7191      Database    -7.1652     1770.7809   ✓       ✓
22    YQVSLHESDNPDDPR          0.7191      Database    -7.2548     1770.7809   ✓       ✓
23    YQVSLHESDNPDDPR          0.7191      Database    -7.3047     1770.7809   ✓       ✓
24    YQVSLHESDNPDDPR          0.7191      Database    -7.3329     1770.7809   ✓       ✓
25    YQVSLHESDNPDDPR          0.7191      Database    -7.3527     1770.7809   ✓       ✓
26    YQVSLHESDNPDDPR          0.7191      Database    -7.4104     1770.7809   ✓       ✓
27    YQVSLHESDNPDDPR          0.7191      Database    -7.4375     1770.7809   ✓       ✓
28    YQVSLHESDNPDDPR          0.7191      Database    -7.4423     1770.7809   ✓       ✓
29    YQVSLHESDNPDDPR          0.7191      Database    -7.4585     1770.7809   ✓       ✓
30    YQVSLHESDNPDDPR          0.7191      Database    -7.5271     1770.7809   ✓       ✓
31    YQVSLHESDNPDDPR          0.7191      Database    -7.5481     1770.7809   ✓       ✓
32    YQVSLHESDNPDDPR          0.7191      Database    -7.5979     1770.7809   ✓       ✓
33    YQVSLHESDNPDDPR          0.7191      Database    -7.6250     1770.7809   ✓       ✓
34    YQVSLHESDNPDDPR          0.7191      Database    -7.6460     1770.7809   ✓       ✓
35    YQVSLHESDNPDDPR          0.7191      Database    -7.7025     1770.7809   ✓       ✓
36    YQVSLHESDNPDDPR          0.7191      Database    -7.7146     1770.7809   ✓       ✓
37    YQVSLHESDNPDDPR          0.7191      Database    -7.7308     1770.7809   ✓       ✓
38    YQVSLHESDNPDDPR          0.7191      Database    -7.7356     1770.7809   ✓       ✓
39    YQVSLHESDNPDDPR          0.7191      Database    -7.7751     1770.7809   ✓       ✓
40    YQVSLHESDNPDDPR          0.7191      Database    -7.7921     1770.7809   ✓       ✓
41    YQVSLHESDNPDDPR          0.7191      Database    -7.8204     1770.7809   ✓       ✓
42    YQVSLHESDNPDDPR          0.7191      Database    -7.8647     1770.7809   ✓       ✓
43    YQVSLHESDNPDDPR          0.7191      Database    -7.8900     1770.7809   ✓       ✓
44    YQVSLHESDNPDDPR          0.7191      Database    -7.9183     1770.7809   ✓       ✓
45    YQVSLHESDNPDDPR          0.7191      Database    -7.9309     1770.7809   ✓       ✓
46    YQVSLHESDNPDDPR          0.7191      Database    -7.9519     1770.7809   ✓       ✓
47    YQVSLHESDNPDDPR          0.7191      Database    -7.9626     1770.7809   ✓       ✓
48    YQVSLHESDNPDDPR          0.7191      Database    -7.9796     1770.7809   ✓       ✓
49    YQVSLHESDNPDDPR          0.7191      Database    -7.9958     1770.7809   ✓       ✓
50    YQVSLHESDNPDDPR          0.7191      Database    -8.0079     1770.7809   ✓       ✓
51    YQVSLHESDNPDDPR          0.7191      Database    -8.0401     1770.7809   ✓       ✓
52    YQVSLHESDNPDDPR          0.7191      Database    -8.0415     1770.7809   ✓       ✓
53    YQVSLHESDNPDDPR          0.7191      Database    -8.0522     1770.7809   ✓       ✓
54    YQVSLHESDNPDDPR          0.7191      Database    -8.0683     1770.7809   ✓       ✓
55    YQVSLHESDNPDDPR          0.7191      Database    -8.0854     1770.7809   ✓       ✓
56    YQVSLHESDNPDDPR          0.7191      Database    -8.1184     1770.7809   ✓       ✓
57    YQVSLHESDNPDDPR          0.7191      Database    -8.1297     1770.7809   ✓       ✓
58    YQVSLHESDNPDDPR          0.7191      Database    -8.1394     1770.7809   ✓       ✓
59    YQVSLHESDNPDDPR          0.7191      Database    -8.1579     1770.7809   ✓       ✓
60    YQVSLHESDNPDDPR          0.7191      Database    -8.1833     1770.7809   ✓       ✓
61    YQVSLHESDNPDDPR          0.7191      Database    -8.2032     1770.7809   ✓       ✓
62    YQVSLHESDNPDDPR          0.7191      Database    -8.2169     1770.7809   ✓       ✓
63    YQVSLHESDNPDDPR          0.7191      Database    -8.2241     1770.7809   ✓       ✓
64    YQVSLHESDNPDDPR          0.7191      Database    -8.2276     1770.7809   ✓       ✓
65    YQVSLHESDNPDDPR          0.7191      Database    -8.2290     1770.7809   ✓       ✓
