================================================================================
Spectrum 70
================================================================================

Spectrum Information:
--------------------------------------------------------------------------------
Precursor m/z: 819.9208
Precursor charge: 2+
Ground truth: EDPIQPQQAASVVEK
Ground truth (normalized): EDPIQPQQAASVVEK

Beam Search Results:
--------------------------------------------------------------------------------
Total candidates: 1000
Passed mass check: 321
Used for reranking: 321

Candidate Statistics:
--------------------------------------------------------------------------------
Total candidates: 1000
Passed mass check: 321 (32.1%)
Database matches: 112 (11.2%)
Prosit predictions: 161 (16.1%)
Failed: 48 (4.8%)

Ground Truth Analysis:
--------------------------------------------------------------------------------
Ground truth found: ✓
Rank in beam search: 1/1000
Rank by similarity: 1/1000
Similarity: 0.9338
Source: Database
Passed mass check: ✓

All 1000 Candidates (sorted by similarity):
------------------------------------------------------------------------------------------------------------------------
Rank  Peptide                  Similarity  Source      BeamScore   Mass        Pass    Correct
------------------------------------------------------------------------------------------------------------------------
1     EDPLQPQQAASVVEK          0.9338      Database    -0.5931     1637.8261   ✓       ✓
2     EDPLQPQQAASVVEK          0.9338      Database    -0.8627     1637.8261   ✓       ✓
3     EDPLQPQQAASVVEK          0.9338      Database    -5.8276     1637.8261   ✓       ✓
4     EDPLQPQQAASVVEK          0.9338      Database    -6.0972     1637.8261   ✓       ✓
5     EDPLQPQQAASVVEK          0.9338      Database    -7.1906     1637.8261   ✓       ✓
6     EDPLQPQQAASVVEK          0.9338      Database    -7.4602     1637.8261   ✓       ✓
7     EDPLQPQQAASVVEK          0.9338      Database    -8.9655     1637.8261   ✓       ✓
8     EDPLQPQQAASVVEK          0.9338      Database    -9.2351     1637.8261   ✓       ✓
9     EDPLQPQQAASVVEK          0.9338      Database    -10.6455    1637.8261   ✓       ✓
10    EDPLQPQQAASVVEK          0.9338      Database    -10.9151    1637.8261   ✓       ✓
11    EDPLQPQQAASVVEK          0.9338      Database    -12.0226    1637.8261   ✓       ✓
12    EDPLQPQQAASVVEK          0.9338      Database    -12.2922    1637.8261   ✓       ✓
13    EDPLQPQQAASVVEK          0.9338      Database    -12.4251    1637.8261   ✓       ✓
14    EDPLQPQQAASVVEK          0.9338      Database    -12.6437    1637.8261   ✓       ✓
