================================================================================
Spectrum 75
================================================================================

Spectrum Information:
--------------------------------------------------------------------------------
Precursor m/z: 808.4213
Precursor charge: 2+
Ground truth: AIIVDIEPGTMDSVR
Ground truth (normalized): AIIVDIEPGTMDSVR

Beam Search Results:
--------------------------------------------------------------------------------
Total candidates: 1000
Passed mass check: 283
Used for reranking: 283

Candidate Statistics:
--------------------------------------------------------------------------------
Total candidates: 1000
Passed mass check: 283 (28.3%)
Database matches: 156 (15.6%)
Prosit predictions: 126 (12.6%)
Failed: 1 (0.1%)

Ground Truth Analysis:
--------------------------------------------------------------------------------
Ground truth found: ✓
Rank in beam search: 1/1000
Rank by similarity: 1/1000
Similarity: 0.7669
Source: Database
Passed mass check: ✓

All 1000 Candidates (sorted by similarity):
------------------------------------------------------------------------------------------------------------------------
Rank  Peptide                  Similarity  Source      BeamScore   Mass        Pass    Correct
------------------------------------------------------------------------------------------------------------------------
1     ALLVDLEPGTMDSVR          0.7669      Database    -0.0448     1614.8287   ✓       ✓
2     ALLVDLEPGTMDSVR          0.7669      Database    -3.2564     1614.8287   ✓       ✓
3     ALLVDLEPGTMDSVR          0.7669      Database    -6.2339     1614.8287   ✓       ✓
4     ALLVDLEPGTMDSVR          0.7669      Database    -7.5933     1614.8287   ✓       ✓
5     ALLVDLEPGTMDSVR          0.7669      Database    -8.5483     1614.8287   ✓       ✓
6     ALLVDLEPGTMDSVR          0.7669      Database    -9.4455     1614.8287   ✓       ✓
7     ALLVDLEPGTMDSVR          0.7669      Database    -10.4728    1614.8287   ✓       ✓
8     ALLVDLEPGTMDSVR          0.7669      Database    -10.4767    1614.8287   ✓       ✓
9     ALLVDLEPGTMDSVR          0.7669      Database    -10.4950    1614.8287   ✓       ✓
10    ALLVDLEPGTMDSVR          0.7669      Database    -10.8050    1614.8287   ✓       ✓
11    ALLVDLEPGTMDSVR          0.7669      Database    -10.8106    1614.8287   ✓       ✓
12    ALLVDLEPGTMDSVR          0.7669      Database    -11.7571    1614.8287   ✓       ✓
13    ALLVDLEPGTMDSVR          0.7669      Database    -11.7600    1614.8287   ✓       ✓
14    ALLVDLEPGTMDSVR          0.7669      Database    -13.6844    1614.8287   ✓       ✓
15    ALLVDLEPGTMDSVR          0.7669      Database    -13.6884    1614.8287   ✓       ✓
16    ALLVDLEPGTMDSVR          0.7669      Database    -13.7067    1614.8287   ✓       ✓
17    ALLVDLEPGTMDSVR          0.7669      Database    -13.7824    1614.8287   ✓       ✓
18    ALLVDLEPGTMDSVR          0.7669      Database    -13.9698    1614.8287   ✓       ✓
19    ALLVDLEPGTMDSVR          0.7669      Database    -14.0223    1614.8287   ✓       ✓
20    ALLVDLEPGTMDSVR          0.7669      Database    -14.3227    1614.8287   ✓       ✓
21    ALLVDLEPGTMDSVR          0.7669      Database    -14.5012    1614.8287   ✓       ✓
22    ALLVDLEPGTMDSVR          0.7669      Database    -14.7374    1614.8287   ✓       ✓
23    ALLVDLEPGTMDSVR          0.7669      Database    -14.9687    1614.8287   ✓       ✓
24    ALLVDLEPGTMDSVR          0.7669      Database    -15.5131    1614.8287   ✓       ✓
25    ALLVDLEPGTMDSVR          0.7669      Database    -15.7768    1614.8287   ✓       ✓
26    ALLVDLEPGTMDSVR          0.7669      Database    -15.8865    1614.8287   ✓       ✓
27    ALLVDLEPGTMDSVR          0.7669      Database    -16.0969    1614.8287   ✓       ✓
28    ALLVDLEPGTMDSVR          0.7669      Database    -16.4916    1614.8287   ✓       ✓
29    ALLVDLEPGTMDSVR          0.7669      Database    -16.6337    1614.8287   ✓       ✓
