================================================================================
Spectrum 80
================================================================================

Spectrum Information:
--------------------------------------------------------------------------------
Precursor m/z: 780.8962
Precursor charge: 2+
Ground truth: IGNVIEGNSDSINTK
Ground truth (normalized): IGNVIEGNSDSINTK

Beam Search Results:
--------------------------------------------------------------------------------
Total candidates: 1000
Passed mass check: 213
Used for reranking: 213

Candidate Statistics:
--------------------------------------------------------------------------------
Total candidates: 1000
Passed mass check: 213 (21.3%)
Database matches: 124 (12.4%)
Prosit predictions: 82 (8.2%)
Failed: 7 (0.7%)

Ground Truth Analysis:
--------------------------------------------------------------------------------
Ground truth found: ✓
Rank in beam search: 1/1000
Rank by similarity: 1/1000
Similarity: 0.9229
Source: Database
Passed mass check: ✓

All 1000 Candidates (sorted by similarity):
------------------------------------------------------------------------------------------------------------------------
Rank  Peptide                  Similarity  Source      BeamScore   Mass        Pass    Correct
------------------------------------------------------------------------------------------------------------------------
1     LGNVLEGNSDSLNTK          0.9229      Database    -0.0154     1559.7791   ✓       ✓
2     LGNVLEGNSDSLNTK          0.9229      Database    -4.5206     1559.7791   ✓       ✓
3     LGNVLEGNSDSLNTK          0.9229      Database    -6.1977     1559.7791   ✓       ✓
4     LGNVLEGNSDSLNTK          0.9229      Database    -7.4498     1559.7791   ✓       ✓
5     LGNVLEGNSDSLNTK          0.9229      Database    -7.8764     1559.7791   ✓       ✓
6     LGNVLEGNSDSLNTK          0.9229      Database    -8.0452     1559.7791   ✓       ✓
7     LGNVLEGNSDSLNTK          0.9229      Database    -8.3913     1559.7791   ✓       ✓
8     LGNVLEGNSDSLNTK          0.9229      Database    -10.7029    1559.7791   ✓       ✓
9     LGNVLEGNSDSLNTK          0.9229      Database    -11.9550    1559.7791   ✓       ✓
10    LGNVLEGNSDSLNTK          0.9229      Database    -12.5504    1559.7791   ✓       ✓
11    LGNVLEGNSDSLNTK          0.9229      Database    -12.8965    1559.7791   ✓       ✓
12    LGNVLEGNSDSLNTK          0.9229      Database    -13.2631    1559.7791   ✓       ✓
13    LGNVLEGNSDSLNTK          0.9229      Database    -13.3001    1559.7791   ✓       ✓
14    LGNVLEGNSDSLNTK          0.9229      Database    -13.6322    1559.7791   ✓       ✓
15    LGNVLEGNSDSLNTK          0.9229      Database    -14.0451    1559.7791   ✓       ✓
16    LGNVLEGNSDSLNTK          0.9229      Database    -14.0587    1559.7791   ✓       ✓
17    LGNVLEGNSDSLNTK          0.9229      Database    -14.2276    1559.7791   ✓       ✓
18    LGNVLEGNSDSLNTK          0.9229      Database    -14.2553    1559.7791   ✓       ✓
19    LGNVLEGNSDSLNTK          0.9229      Database    -14.5737    1559.7791   ✓       ✓
20    LGNVLEGNSDSLNTK          0.9229      Database    -14.7149    1559.7791   ✓       ✓
21    LGNVLEGNSDSLNTK          0.9229      Database    -15.3108    1559.7791   ✓       ✓
22    LGNVLEGNSDSLNTK          0.9229      Database    -15.4797    1559.7791   ✓       ✓
23    LGNVLEGNSDSLNTK          0.9229      Database    -15.5271    1559.7791   ✓       ✓
24    LGNVLEGNSDSLNTK          0.9229      Database    -15.5787    1559.7791   ✓       ✓
25    LGNVLEGNSDSLNTK          0.9229      Database    -15.8258    1559.7791   ✓       ✓
26    LGNVLEGNSDSLNTK          0.9229      Database    -15.9062    1559.7791   ✓       ✓
27    LGNVLEGNSDSLNTK          0.9229      Database    -16.1817    1559.7791   ✓       ✓
28    LGNVLEGNSDSLNTK          0.9229      Database    -16.2523    1559.7791   ✓       ✓
29    LGNVLEGNSDSLNTK          0.9229      Database    -16.4212    1559.7791   ✓       ✓
30    LGNVLEGNSDSLNTK          0.9229      Database    -17.2373    1559.7791   ✓       ✓
31    LGNVLEGNSDSLNTK          0.9229      Database    -17.7683    1559.7791   ✓       ✓
32    LGNVLEGNSDSLNTK          0.9229      Database    -17.8053    1559.7791   ✓       ✓
