================================================================================
Spectrum 96
================================================================================

Spectrum Information:
--------------------------------------------------------------------------------
Precursor m/z: 943.9217
Precursor charge: 2+
Ground truth: MEAAHEDQYFYNIQK
Ground truth (normalized): MEAAHEDQYFYNIQK

Beam Search Results:
--------------------------------------------------------------------------------
Total candidates: 1000
Passed mass check: 279
Used for reranking: 279

Candidate Statistics:
--------------------------------------------------------------------------------
Total candidates: 1000
Passed mass check: 279 (27.9%)
Database matches: 172 (17.2%)
Prosit predictions: 107 (10.7%)
Failed: 0 (0.0%)

Ground Truth Analysis:
--------------------------------------------------------------------------------
Ground truth found: ✓
Rank in beam search: 1/1000
Rank by similarity: 1/1000
Similarity: 0.7255
Source: Database
Passed mass check: ✓

All 1000 Candidates (sorted by similarity):
------------------------------------------------------------------------------------------------------------------------
Rank  Peptide                  Similarity  Source      BeamScore   Mass        Pass    Correct
------------------------------------------------------------------------------------------------------------------------
1     MEAAHEDQYFYNLQK          0.7255      Database    -0.0300     1885.8305   ✓       ✓
2     MEAAHEDQYFYNLQK          0.7255      Database    -4.2458     1885.8305   ✓       ✓
3     MEAAHEDQYFYNLQK          0.7255      Database    -4.6303     1885.8305   ✓       ✓
4     MEAAHEDQYFYNLQK          0.7255      Database    -5.4466     1885.8305   ✓       ✓
5     MEAAHEDQYFYNLQK          0.7255      Database    -7.8547     1885.8305   ✓       ✓
6     MEAAHEDQYFYNLQK          0.7255      Database    -8.6607     1885.8305   ✓       ✓
7     MEAAHEDQYFYNLQK          0.7255      Database    -8.8461     1885.8305   ✓       ✓
8     MEAAHEDQYFYNLQK          0.7255      Database    -9.6624     1885.8305   ✓       ✓
9     MEAAHEDQYFYNLQK          0.7255      Database    -10.0469    1885.8305   ✓       ✓
10    MEAAHEDQYFYNLQK          0.7255      Database    -10.7403    1885.8305   ✓       ✓
11    MEAAHEDQYFYNLQK          0.7255      Database    -12.0705    1885.8305   ✓       ✓
12    MEAAHEDQYFYNLQK          0.7255      Database    -12.4550    1885.8305   ✓       ✓
13    MEAAHEDQYFYNLQK          0.7255      Database    -12.8765    1885.8305   ✓       ✓
14    MEAAHEDQYFYNLQK          0.7255      Database    -13.1932    1885.8305   ✓       ✓
15    MEAAHEDQYFYNLQK          0.7255      Database    -13.2610    1885.8305   ✓       ✓
16    MEAAHEDQYFYNLQK          0.7255      Database    -13.2713    1885.8305   ✓       ✓
17    MEAAHEDQYFYNLQK          0.7255      Database    -13.2986    1885.8305   ✓       ✓
18    MEAAHEDQYFYNLQK          0.7255      Database    -14.0773    1885.8305   ✓       ✓
19    MEAAHEDQYFYNLQK          0.7255      Database    -14.2627    1885.8305   ✓       ✓
