================================================================================
Spectrum 112
================================================================================

Spectrum Information:
--------------------------------------------------------------------------------
Precursor m/z: 577.2896
Precursor charge: 2+
Ground truth: IATGDWFTSR
Ground truth (normalized): IATGDWFTSR

Beam Search Results:
--------------------------------------------------------------------------------
Total candidates: 1000
Passed mass check: 1
Used for reranking: 1

Candidate Statistics:
--------------------------------------------------------------------------------
Total candidates: 1000
Passed mass check: 1 (0.1%)
Database matches: 0 (0.0%)
Prosit predictions: 1 (0.1%)
Failed: 0 (0.0%)

Ground Truth Analysis:
--------------------------------------------------------------------------------
Ground truth found: ✗ (not in top 1000 candidates)

All 1000 Candidates (sorted by similarity):
------------------------------------------------------------------------------------------------------------------------
Rank  Peptide                  Similarity  Source      BeamScore   Mass        Pass    Correct
------------------------------------------------------------------------------------------------------------------------
1     +42.011QELDPAAVLR        0.4002      Prosit      -8.8707     1152.6139   ✓       
2     -17.027QHLDPAAVLR        -1.0000     NotChecked  -5.1645     1101.5931   ✗       
3     -17.027QSLDPAAVLR        -1.0000     NotChecked  -5.8780     1051.5662   ✗       
4     -17.027QYLDPAAVLR        -1.0000     NotChecked  -5.9004     1127.5975   ✗       
5     -17.027QHSDPAAVLR        -1.0000     NotChecked  -6.1500     1075.5411   ✗       
6     -17.027HLDPAAVLR         -1.0000     NotChecked  -6.1730     973.5345    ✗       
7     -17.027QLLDPAAVLR        -1.0000     NotChecked  -6.2048     1077.6182   ✗       
8     -17.027QHLSPAAVLR        -1.0000     NotChecked  -6.2820     1073.5982   ✗       
9     -17.027QLDPAAVLR         -1.0000     NotChecked  -6.4777     964.5342    ✗       
10    -17.027QHLDPAAVGR        -1.0000     NotChecked  -6.5270     1045.5305   ✗       
11    -17.027QHLDPAAVLR        -1.0000     NotChecked  -6.5277     1101.5931   ✗       
12    -17.027QELDPAAVLR        -1.0000     NotChecked  -6.7983     1093.5768   ✗       
13    -17.027QALDPAAVLR        -1.0000     NotChecked  -6.8372     1035.5713   ✗       
14    -17.027QSSDPAAVLR        -1.0000     NotChecked  -6.8635     1025.5142   ✗       
15    -17.027QFLDPAAVLR        -1.0000     NotChecked  -6.8740     1111.6026   ✗       
16    -17.027QPLDPAAVLR        -1.0000     NotChecked  -6.8841     1061.5869   ✗       
17    -17.027QYSDPAAVLR        -1.0000     NotChecked  -6.8859     1101.5455   ✗       
18    -17.027SLDPAAVLR         -1.0000     NotChecked  -6.8865     923.5076    ✗       
19    -17.027QDLDPAAVLR        -1.0000     NotChecked  -6.8940     1079.5611   ✗       
20    QHLDPAAVLR               -1.0000     NotChecked  -6.8961     1118.6196   ✗       
21    -17.027YLDPAAVLR         -1.0000     NotChecked  -6.9089     999.5389    ✗       
22    -17.027QHVDPAAVLR        -1.0000     NotChecked  -6.9746     1087.5774   ✗       
23    -17.027QSLSPAAVLR        -1.0000     NotChecked  -6.9955     1023.5713   ✗       
24    -17.027QYLSPAAVLR        -1.0000     NotChecked  -7.0179     1099.6026   ✗       
25    -17.027HSDPAAVLR         -1.0000     NotChecked  -7.1585     947.4825    ✗       
26    -17.027QLSDPAAVLR        -1.0000     NotChecked  -7.1903     1051.5662   ✗       
27    -17.027QHTDPAAVLR        -1.0000     NotChecked  -7.1916     1089.5567   ✗       
28    -17.027LLDPAAVLR         -1.0000     NotChecked  -7.2133     949.5597    ✗       
29    -17.027QSLDPAAVGR        -1.0000     NotChecked  -7.2405     995.5036    ✗       
30    -17.027QSLDPAAVLR        -1.0000     NotChecked  -7.2411     1051.5662   ✗       
31    -17.027QYLDPAAVGR        -1.0000     NotChecked  -7.2629     1071.5349   ✗       
32    -17.027QYLDPAAVLR        -1.0000     NotChecked  -7.2636     1127.5975   ✗       
33    -17.027QHSSPAAVLR        -1.0000     NotChecked  -7.2675     1047.5461   ✗       
34    -17.027QHLDPAAVLK        -1.0000     NotChecked  -7.2859     1073.5869   ✗       
35    -17.027HLSPAAVLR         -1.0000     NotChecked  -7.2905     945.5396    ✗       
36    -17.027QLLSPAAVLR        -1.0000     NotChecked  -7.3223     1049.6233   ✗       
37    -17.027QHLEPAAVLR        -1.0000     NotChecked  -7.3225     1115.6087   ✗       
38    -17.027QSDPAAVLR         -1.0000     NotChecked  -7.4632     938.4821    ✗       
39    -17.027LDPAAVLR          -1.0000     NotChecked  -7.4862     836.4756    ✗       
40    -17.027QHSDPAAVGR        -1.0000     NotChecked  -7.5126     1019.4785   ✗       
41    -17.027QHSDPAAVLR        -1.0000     NotChecked  -7.5132     1075.5411   ✗       
42    -17.027HLDPAAVGR         -1.0000     NotChecked  -7.5355     917.4719    ✗       
43    -17.027HLDPAAVLR         -1.0000     NotChecked  -7.5362     973.5345    ✗       
44    -17.027QLLDPAAVGR        -1.0000     NotChecked  -7.5673     1021.5556   ✗       
45    -17.027QLLDPAAVLR        -1.0000     NotChecked  -7.5679     1077.6182   ✗       
46    -17.027QLSPAAVLR         -1.0000     NotChecked  -7.5952     936.5393    ✗       
47    -17.027QHLDPAVLR         -1.0000     NotChecked  -7.6028     1030.5560   ✗       
48    QSLDPAAVLR               -1.0000     NotChecked  -7.6095     1068.5928   ✗       
49    QYLDPAAVLR               -1.0000     NotChecked  -7.6320     1144.6241   ✗       
50    -17.027QHLSPAAVGR        -1.0000     NotChecked  -7.6446     1017.5356   ✗       
51    -17.027QHLSPAAVLR        -1.0000     NotChecked  -7.6452     1073.5982   ✗       
52    -17.027QSVDPAAVLR        -1.0000     NotChecked  -7.6881     1037.5506   ✗       
53    -17.027QYVDPAAVLR        -1.0000     NotChecked  -7.7106     1113.5819   ✗       
54    -17.027QESDPAAVLR        -1.0000     NotChecked  -7.7838     1067.5247   ✗       
55    -17.027ELDPAAVLR         -1.0000     NotChecked  -7.8068     965.5182    ✗       
56    -17.027QASDPAAVLR        -1.0000     NotChecked  -7.8227     1009.5193   ✗       
57    -17.027QLDPAAVGR         -1.0000     NotChecked  -7.8402     908.4716    ✗       
58    -17.027QLDPAAVLR         -1.0000     NotChecked  -7.8409     964.5342    ✗       
59    -17.027QHLDPAAPLR        -1.0000     NotChecked  -7.8412     1099.5774   ✗       
60    -17.027ALDPAAVLR         -1.0000     NotChecked  -7.8457     907.5127    ✗       
61    -17.027QFSDPAAVLR        -1.0000     NotChecked  -7.8595     1085.5506   ✗       
62    -17.027QPSDPAAVLR        -1.0000     NotChecked  -7.8696     1035.5349   ✗       
63    -17.027SSDPAAVLR         -1.0000     NotChecked  -7.8720     897.4556    ✗       
64    -17.027QDSDPAAVLR        -1.0000     NotChecked  -7.8795     1053.5091   ✗       
65    QHSDPAAVLR               -1.0000     NotChecked  -7.8816     1092.5676   ✗       
66    -17.027FLDPAAVLR         -1.0000     NotChecked  -7.8825     983.5440    ✗       
67    -17.027QHLDPAAVGR        -1.0000     NotChecked  -7.8902     1045.5305   ✗       
68    -17.027PLDPAAVLR         -1.0000     NotChecked  -7.8926     933.5284    ✗       
69    -17.027YSDPAAVLR         -1.0000     NotChecked  -7.8944     973.4869    ✗       
70    -17.027DLDPAAVLR         -1.0000     NotChecked  -7.9025     951.5025    ✗       
71    HLDPAAVLR                -1.0000     NotChecked  -7.9046     990.5611    ✗       
72    -17.027QSTDPAAVLR        -1.0000     NotChecked  -7.9050     1039.5298   ✗       
73    -17.027QELSPAAVLR        -1.0000     NotChecked  -7.9158     1065.5819   ✗       
74    -17.027QYTDPAAVLR        -1.0000     NotChecked  -7.9275     1115.5611   ✗       
75    QLLDPAAVLR               -1.0000     NotChecked  -7.9364     1094.6448   ✗       
76    +42.011QSLDPAAVLR        -1.0000     NotChecked  -7.9504     1110.6033   ✗       
77    -17.027QALSPAAVLR        -1.0000     NotChecked  -7.9547     1007.5764   ✗       
78    -17.027HLDPAAVLR         -1.0000     NotChecked  -7.9734     973.5345    ✗       
79    -17.027QSSSPAAVLR        -1.0000     NotChecked  -7.9810     997.5193    ✗       
80    -17.027HVDPAAVLR         -1.0000     NotChecked  -7.9832     959.5189    ✗       
81    -17.027HLDWAAVLR         -1.0000     NotChecked  -7.9904     1062.5611   ✗       
82    -17.027QFLSPAAVLR        -1.0000     NotChecked  -7.9915     1083.6077   ✗       
83    -17.027QSLDPAAVLK        -1.0000     NotChecked  -7.9994     1023.5601   ✗       
84    -17.027QPLSPAAVLR        -1.0000     NotChecked  -8.0017     1033.5920   ✗       
85    -17.027QYSSPAAVLR        -1.0000     NotChecked  -8.0034     1073.5506   ✗       
86    -17.027SLSPAAVLR         -1.0000     NotChecked  -8.0040     895.5127    ✗       
87    -17.027QDLSPAAVLR        -1.0000     NotChecked  -8.0115     1051.5662   ✗       
88    QHLSPAAVLR               -1.0000     NotChecked  -8.0136     1090.6247   ✗       
89    -17.027QLVDPAAVLR        -1.0000     NotChecked  -8.0149     1063.6026   ✗       
90    -17.027QYLDPAAVLK        -1.0000     NotChecked  -8.0218     1099.5914   ✗       
91    -17.027YLSPAAVLR         -1.0000     NotChecked  -8.0264     971.5440    ✗       
92    -17.027HLDPPAAVLR        -1.0000     NotChecked  -8.0314     1070.5873   ✗       
93    -17.027QSLEPAAVLR        -1.0000     NotChecked  -8.0360     1065.5819   ✗       
94    -17.027QHVSPAAVLR        -1.0000     NotChecked  -8.0922     1059.5825   ✗       
95    -17.027QELDPAAVGR        -1.0000     NotChecked  -8.1608     1037.5142   ✗       
96    -17.027QELDPAAVLR        -1.0000     NotChecked  -8.1614     1093.5768   ✗       
97    -17.027LSDPAAVLR         -1.0000     NotChecked  -8.1988     923.5076    ✗       
98    -17.027QALDPAAVGR        -1.0000     NotChecked  -8.1997     979.5087    ✗       
99    -17.027HTDPAAVLR         -1.0000     NotChecked  -8.2001     961.4981    ✗       
100   -17.027QALDPAAVLR        -1.0000     NotChecked  -8.2003     1035.5713   ✗       
101   QLDPAAVLR                -1.0000     NotChecked  -8.2093     981.5607    ✗       
102   +42.011QHSDPAAVLR        -1.0000     NotChecked  -8.2224     1134.5782   ✗       
103   -17.027QSSDPAAVGR        -1.0000     NotChecked  -8.2260     969.4516    ✗       
104   -17.027QSSDPAAVLR        -1.0000     NotChecked  -8.2266     1025.5142   ✗       
105   -17.027QLTDPAAVLR        -1.0000     NotChecked  -8.2318     1065.5819   ✗       
106   -17.027QFLDPAAVGR        -1.0000     NotChecked  -8.2365     1055.5400   ✗       
107   -17.027QFLDPAAVLR        -1.0000     NotChecked  -8.2372     1111.6026   ✗       
108   +42.011HLDPAAVLR         -1.0000     NotChecked  -8.2454     1032.5716   ✗       
109   -17.027QPLDPAAVGR        -1.0000     NotChecked  -8.2467     1005.5243   ✗       
110   -17.027QPLDPAAVLR        -1.0000     NotChecked  -8.2473     1061.5869   ✗       
111   -17.027QYSDPAAVGR        -1.0000     NotChecked  -8.2485     1045.4829   ✗       
112   -17.027SLDPAAVGR         -1.0000     NotChecked  -8.2490     867.4450    ✗       
113   -17.027QYSDPAAVLR        -1.0000     NotChecked  -8.2491     1101.5455   ✗       
114   -17.027SLDPAAVLR         -1.0000     NotChecked  -8.2496     923.5076    ✗       
115   -17.027QDLDPAAVGR        -1.0000     NotChecked  -8.2565     1023.4985   ✗       
116   -17.027QDLDPAAVLR        -1.0000     NotChecked  -8.2571     1079.5611   ✗       
117   QHLDPAAVGR               -1.0000     NotChecked  -8.2586     1062.5570   ✗       
118   QHLDPAAVLR               -1.0000     NotChecked  -8.2593     1118.6196   ✗       
119   -17.027QHSDPAAVLK        -1.0000     NotChecked  -8.2714     1047.5349   ✗       
120   -17.027YLDPAAVGR         -1.0000     NotChecked  -8.2714     943.4763    ✗       
121   -17.027YLDPAAVLR         -1.0000     NotChecked  -8.2721     999.5389    ✗       
122   -17.027HSSPAAVLR         -1.0000     NotChecked  -8.2760     919.4876    ✗       
123   +42.011QLLDPAAVLR        -1.0000     NotChecked  -8.2772     1136.6554   ✗       
124   -17.027QVDPAAVLR         -1.0000     NotChecked  -8.2878     950.5185    ✗       
125   -17.027HLDPAAVLK         -1.0000     NotChecked  -8.2944     945.5284    ✗       
126   -17.027QLDWAAVLR         -1.0000     NotChecked  -8.2951     1053.5607   ✗       
127   -17.027GHLDPAAVLR        -1.0000     NotChecked  -8.3027     1030.5560   ✗       
128   -17.027QLSSPAAVLR        -1.0000     NotChecked  -8.3078     1023.5713   ✗       
129   -17.027QHSEPAAVLR        -1.0000     NotChecked  -8.3081     1089.5567   ✗       
130   -17.027QHTSPAAVLR        -1.0000     NotChecked  -8.3091     1061.5618   ✗       
131   -17.027QSLDPAVLR         -1.0000     NotChecked  -8.3163     980.5291    ✗       
132   -17.027QLLDPAAVLK        -1.0000     NotChecked  -8.3262     1049.6121   ✗       
133   -17.027LLSPAAVLR         -1.0000     NotChecked  -8.3308     921.5648    ✗       
134   -17.027HLEPAAVLR         -1.0000     NotChecked  -8.3310     987.5502    ✗       
