================================================================================
Spectrum 139
================================================================================

Spectrum Information:
--------------------------------------------------------------------------------
Precursor m/z: 399.2191
Precursor charge: 2+
Ground truth: IHWVDK
Ground truth (normalized): IHWVDK

Beam Search Results:
--------------------------------------------------------------------------------
Total candidates: 1000
Passed mass check: 2
Used for reranking: 2

Candidate Statistics:
--------------------------------------------------------------------------------
Total candidates: 1000
Passed mass check: 2 (0.2%)
Database matches: 0 (0.0%)
Prosit predictions: 1 (0.1%)
Failed: 1 (0.1%)

Ground Truth Analysis:
--------------------------------------------------------------------------------
Ground truth found: ✗ (not in top 1000 candidates)

All 1000 Candidates (sorted by similarity):
------------------------------------------------------------------------------------------------------------------------
Rank  Peptide                  Similarity  Source      BeamScore   Mass        Pass    Correct
------------------------------------------------------------------------------------------------------------------------
1     HLVC+57.021LR            0.2580      Prosit      -11.1406    796.4378    ✓       
2     HLEHK                    -1.0000     NotChecked  -9.5047     662.3500    ✗       
3     HLLHK                    -1.0000     NotChecked  -9.5587     646.3915    ✗       
4     HLELK                    -1.0000     NotChecked  -9.6947     638.3752    ✗       
5     HLEC+57.021K             -1.0000     NotChecked  -9.7376     685.3217    ✗       
6     HLEHLK                   -1.0000     NotChecked  -9.7429     775.4341    ✗       
7     HLLLK                    -1.0000     NotChecked  -9.7487     622.4166    ✗       
8     HLHHK                    -1.0000     NotChecked  -9.7607     670.3663    ✗       
9     HLVHK                    -1.0000     NotChecked  -9.7635     632.3758    ✗       
10    HLETK                    -1.0000     NotChecked  -9.7825     626.3388    ✗       
11    HLLC+57.021K             -1.0000     NotChecked  -9.7916     669.3632    ✗       
12    HLERK                    -1.0000     NotChecked  -9.7924     681.3922    ✗       
13    HLLHLK                   -1.0000     NotChecked  -9.7968     759.4755    ✗       
14    HLENK                    -1.0000     NotChecked  -9.7994     639.3340    ✗       
15    HLEEK                    -1.0000     NotChecked  -9.8163     654.3337    ✗       
16    HLLTK                    -1.0000     NotChecked  -9.8365     610.3802    ✗       
17    HLEKK                    -1.0000     NotChecked  -9.8390     653.3861    ✗       
18    HLLRK                    -1.0000     NotChecked  -9.8464     665.4337    ✗       
19    HLLNK                    -1.0000     NotChecked  -9.8533     623.3755    ✗       
20    HLYHK                    -1.0000     NotChecked  -9.8586     696.3707    ✗       
21    HLLEK                    -1.0000     NotChecked  -9.8703     638.3752    ✗       
22    HLLKK                    -1.0000     NotChecked  -9.8930     637.4275    ✗       
23    HLEVK                    -1.0000     NotChecked  -9.9020     624.3595    ✗       
24    HLEYK                    -1.0000     NotChecked  -9.9161     688.3544    ✗       
25    HLELLK                   -1.0000     NotChecked  -9.9328     751.4592    ✗       
26    HLHLK                    -1.0000     NotChecked  -9.9507     646.3915    ✗       
27    HLVLK                    -1.0000     NotChecked  -9.9534     608.4010    ✗       
28    HLLVK                    -1.0000     NotChecked  -9.9560     608.4010    ✗       
29    HLLYK                    -1.0000     NotChecked  -9.9700     672.3959    ✗       
30    HLEHVK                   -1.0000     NotChecked  -9.9830     761.4184    ✗       
31    HLLLLK                   -1.0000     NotChecked  -9.9868     735.5007    ✗       
32    HLHC+57.021K             -1.0000     NotChecked  -9.9936     693.3381    ✗       
33    HLVC+57.021K             -1.0000     NotChecked  -9.9963     655.3476    ✗       
34    HLHHLK                   -1.0000     NotChecked  -9.9989     783.4504    ✗       
35    HLVHLK                   -1.0000     NotChecked  -10.0016    745.4599    ✗       
36    HLETLK                   -1.0000     NotChecked  -10.0206    739.4228    ✗       
37    HLTHK                    -1.0000     NotChecked  -10.0295    634.3551    ✗       
38    HLLC+57.021LK            -1.0000     NotChecked  -10.0297    782.4473    ✗       
39    HLERLK                   -1.0000     NotChecked  -10.0305    794.4763    ✗       
40    HLKHK                    -1.0000     NotChecked  -10.0315    661.4024    ✗       
41    HLLHVK                   -1.0000     NotChecked  -10.0370    745.4599    ✗       
42    HLENLK                   -1.0000     NotChecked  -10.0375    752.4181    ✗       
43    HLHTK                    -1.0000     NotChecked  -10.0385    634.3551    ✗       
44    HLVTK                    -1.0000     NotChecked  -10.0413    596.3646    ✗       
45    HLHRK                    -1.0000     NotChecked  -10.0484    689.4085    ✗       
46    HLYLK                    -1.0000     NotChecked  -10.0485    672.3959    ✗       
47    HLVRK                    -1.0000     NotChecked  -10.0512    651.4180    ✗       
48    HLEELK                   -1.0000     NotChecked  -10.0544    767.4178    ✗       
49    HLHNK                    -1.0000     NotChecked  -10.0554    647.3503    ✗       
50    HLVNK                    -1.0000     NotChecked  -10.0581    609.3598    ✗       
51    HLEHNK                   -1.0000     NotChecked  -10.0697    776.3929    ✗       
52    HLHEK                    -1.0000     NotChecked  -10.0723    662.3500    ✗       
53    HLLTLK                   -1.0000     NotChecked  -10.0746    723.4643    ✗       
54    HLVEK                    -1.0000     NotChecked  -10.0750    624.3595    ✗       
55    HLEKLK                   -1.0000     NotChecked  -10.0771    766.4701    ✗       
56    HLLRLK                   -1.0000     NotChecked  -10.0845    778.5177    ✗       
57    HLYC+57.021K             -1.0000     NotChecked  -10.0914    719.3425    ✗       
58    HLLNLK                   -1.0000     NotChecked  -10.0915    736.4596    ✗       
59    HLHKK                    -1.0000     NotChecked  -10.0950    661.4024    ✗       
60    HLVKK                    -1.0000     NotChecked  -10.0977    623.4119    ✗       
61    HLLELK                   -1.0000     NotChecked  -10.1084    751.4592    ✗       
62    HLLHNK                   -1.0000     NotChecked  -10.1237    760.4344    ✗       
63    HLPHK                    -1.0000     NotChecked  -10.1260    630.3602    ✗       
64    HLSHK                    -1.0000     NotChecked  -10.1280    620.3394    ✗       
65    HLLKLK                   -1.0000     NotChecked  -10.1311    750.5116    ✗       
66    HLYTK                    -1.0000     NotChecked  -10.1363    660.3595    ✗       
67    HLEVLK                   -1.0000     NotChecked  -10.1401    737.4436    ✗       
68    HLYRK                    -1.0000     NotChecked  -10.1462    715.4129    ✗       
69    HLYNK                    -1.0000     NotChecked  -10.1532    673.3548    ✗       
70    HLHVK                    -1.0000     NotChecked  -10.1580    632.3758    ✗       
71    HLVVK                    -1.0000     NotChecked  -10.1607    594.3853    ✗       
72    HLYEK                    -1.0000     NotChecked  -10.1701    688.3544    ✗       
73    HLHYK                    -1.0000     NotChecked  -10.1721    696.3707    ✗       
74    HLELVK                   -1.0000     NotChecked  -10.1730    737.4436    ✗       
75    HLVYK                    -1.0000     NotChecked  -10.1748    658.3802    ✗       
76    HLHLLK                   -1.0000     NotChecked  -10.1888    759.4755    ✗       
77    HLVLLK                   -1.0000     NotChecked  -10.1915    721.4850    ✗       
78    HLYKK                    -1.0000     NotChecked  -10.1928    687.4068    ✗       
