================================================================================
Spectrum 165
================================================================================

Spectrum Information:
--------------------------------------------------------------------------------
Precursor m/z: 980.9572
Precursor charge: 2+
Ground truth: YPIEHGIITNWDDMEK
Ground truth (normalized): YPIEHGIITNWDDMEK

Beam Search Results:
--------------------------------------------------------------------------------
Total candidates: 1000
Passed mass check: 731
Used for reranking: 731

Candidate Statistics:
--------------------------------------------------------------------------------
Total candidates: 1000
Passed mass check: 731 (73.1%)
Database matches: 696 (69.6%)
Prosit predictions: 7 (0.7%)
Failed: 28 (2.8%)

Ground Truth Analysis:
--------------------------------------------------------------------------------
Ground truth found: ✓
Rank in beam search: 1/1000
Rank by similarity: 1/1000
Similarity: 0.9509
Source: Database
Passed mass check: ✓

All 1000 Candidates (sorted by similarity):
------------------------------------------------------------------------------------------------------------------------
Rank  Peptide                  Similarity  Source      BeamScore   Mass        Pass    Correct
------------------------------------------------------------------------------------------------------------------------
1     YPLEHGLLTNWDDMEK         0.9509      Database    -0.9994     1959.9037   ✓       ✓
2     YPLEHGLLTNWDDMEK         0.9509      Database    -1.8468     1959.9037   ✓       ✓
3     YPLEHGLLTNWDDMEK         0.9509      Database    -1.8506     1959.9037   ✓       ✓
4     YPLEHGLLTNWDDMEK         0.9509      Database    -2.6980     1959.9037   ✓       ✓
5     YPLEHGLLTNWDDMEK         0.9509      Database    -3.3929     1959.9037   ✓       ✓
6     YPLEHGLLTNWDDMEK         0.9509      Database    -3.7950     1959.9037   ✓       ✓
7     YPLEHGLLTNWDDMEK         0.9509      Database    -4.2403     1959.9037   ✓       ✓
8     YPLEHGLLTNWDDMEK         0.9509      Database    -4.2441     1959.9037   ✓       ✓
9     YPLEHGLLTNWDDMEK         0.9509      Database    -4.3831     1959.9037   ✓       ✓
10    YPLEHGLLTNWDDMEK         0.9509      Database    -4.6424     1959.9037   ✓       ✓
11    YPLEHGLLTNWDDMEK         0.9509      Database    -4.6463     1959.9037   ✓       ✓
12    YPLEHGLLTNWDDMEK         0.9509      Database    -4.6801     1959.9037   ✓       ✓
13    YPLEHGLLTNWDDMEK         0.9509      Database    -4.8401     1959.9037   ✓       ✓
14    YPLEHGLLTNWDDMEK         0.9509      Database    -5.0114     1959.9037   ✓       ✓
15    YPLEHGLLTNWDDMEK         0.9509      Database    -5.0631     1959.9037   ✓       ✓
16    YPLEHGLLTNWDDMEK         0.9509      Database    -5.0915     1959.9037   ✓       ✓
17    YPLEHGLLTNWDDMEK         0.9509      Database    -5.2305     1959.9037   ✓       ✓
18    YPLEHGLLTNWDDMEK         0.9509      Database    -5.2343     1959.9037   ✓       ✓
