================================================================================
Spectrum 180
================================================================================

Spectrum Information:
--------------------------------------------------------------------------------
Precursor m/z: 514.2235
Precursor charge: 2+
Ground truth: ETDDKIC+57.021F
Ground truth (normalized): ETDDKIC+57.021F

Beam Search Results:
--------------------------------------------------------------------------------
Total candidates: 1000
Passed mass check: 83
Used for reranking: 83

Candidate Statistics:
--------------------------------------------------------------------------------
Total candidates: 1000
Passed mass check: 83 (8.3%)
Database matches: 25 (2.5%)
Prosit predictions: 48 (4.8%)
Failed: 10 (1.0%)

Ground Truth Analysis:
--------------------------------------------------------------------------------
Ground truth found: ✓
Rank in beam search: 1/1000
Rank by similarity: 1/1000
Similarity: 0.8324
Source: Database
Passed mass check: ✓

All 1000 Candidates (sorted by similarity):
------------------------------------------------------------------------------------------------------------------------
Rank  Peptide                  Similarity  Source      BeamScore   Mass        Pass    Correct
------------------------------------------------------------------------------------------------------------------------
1     ETDDKLC+57.021F          0.8324      Database    -0.7390     1026.4328   ✓       ✓
2     ETDDKLC+57.021F          0.8324      Database    -4.7348     1026.4328   ✓       ✓
3     ETDDKLC+57.021F          0.8324      Database    -6.9100     1026.4328   ✓       ✓
4     ETDDKLC+57.021F          0.8324      Database    -7.0567     1026.4328   ✓       ✓
5     ETDDKLC+57.021F          0.8324      Database    -7.3797     1026.4328   ✓       ✓
6     ETDDKLC+57.021F          0.8324      Database    -7.7773     1026.4328   ✓       ✓
7     ETDDKLC+57.021F          0.8324      Database    -9.4916     1026.4328   ✓       ✓
8     ETDDKLC+57.021F          0.8324      Database    -10.1864    1026.4328   ✓       ✓
9     ETDDKLC+57.021F          0.8324      Database    -10.1962    1026.4328   ✓       ✓
10    ETDDKLC+57.021F          0.8324      Database    -10.4428    1026.4328   ✓       ✓
11    ETDDKLC+57.021F          0.8324      Database    -10.6983    1026.4328   ✓       ✓
12    ETDDKLC+57.021F          0.8324      Database    -11.0526    1026.4328   ✓       ✓
13    ETDDKLC+57.021F          0.8324      Database    -11.3755    1026.4328   ✓       ✓
14    ETDDKLC+57.021F          0.8324      Database    -11.7731    1026.4328   ✓       ✓
15    ETDDKLC+57.021F          0.8324      Database    -12.3191    1026.4328   ✓       ✓
16    ETDDKLC+57.021F          0.8324      Database    -12.9256    1026.4328   ✓       ✓
17    ETDDKLC+57.021F          0.8324      Database    -13.0432    1026.4328   ✓       ✓
18    ETDDKLC+57.021F          0.8324      Database    -13.2277    1026.4328   ✓       ✓
19    ETDDKLC+57.021F          0.8324      Database    -13.4874    1026.4328   ✓       ✓
20    ETDDKLC+57.021F          0.8324      Database    -13.5507    1026.4328   ✓       ✓
21    ETDDKLC+57.021F          0.8324      Database    -13.9483    1026.4328   ✓       ✓
22    ETDDKLC+57.021F          0.8324      Database    -14.0950    1026.4328   ✓       ✓
23    ETDDKLC+57.021F          0.8324      Database    -14.1920    1026.4328   ✓       ✓
24    ETDDKLC+57.021F          0.8324      Database    -14.4180    1026.4328   ✓       ✓
25    ETDDKLC+57.021F          0.8324      Database    -14.4386    1026.4328   ✓       ✓
26    Q+0.984TN+0.984DKLC+57.021F0.3968      Prosit      -9.7199     1026.4328   ✓       
27    Q+0.984TN+0.984DKLC+57.021F0.3968      Prosit      -13.7157    1026.4328   ✓       
28    ETN+0.984N+0.984KLC+57.021F0.3881      Prosit      -11.0947    1026.4328   ✓       
29    ETN+0.984DKLC+57.021F    0.3776      Prosit      -5.6014     1026.4328   ✓       
30    ETN+0.984DKLC+57.021F    0.3776      Prosit      -9.5973     1026.4328   ✓       
31    ETN+0.984DKLC+57.021F    0.3776      Prosit      -11.7725    1026.4328   ✓       
32    ETN+0.984DKLC+57.021F    0.3776      Prosit      -11.9192    1026.4328   ✓       
33    ETN+0.984DKLC+57.021F    0.3776      Prosit      -12.2421    1026.4328   ✓       
34    ETN+0.984DKLC+57.021F    0.3776      Prosit      -12.6397    1026.4328   ✓       
35    ETN+0.984DKLC+57.021F    0.3776      Prosit      -14.3541    1026.4328   ✓       
36    MVDDKLC+57.021F          0.3660      Prosit      -7.3846     1026.4514   ✓       
37    MVDDKLC+57.021F          0.3660      Prosit      -11.3804    1026.4514   ✓       
38    MVDDKLC+57.021F          0.3660      Prosit      -13.5556    1026.4514   ✓       
39    MVDDKLC+57.021F          0.3660      Prosit      -14.4229    1026.4514   ✓       
40    DTEDKLC+57.021F          0.3614      Prosit      -10.9185    1026.4328   ✓       
41    MVN+0.984DKLC+57.021F    0.3583      Prosit      -12.2470    1026.4514   ✓       
42    MVDN+0.984KLC+57.021F    0.3517      Prosit      -12.8778    1026.4514   ✓       
43    M+15.995VVDKLC+57.021F   0.3484      Prosit      -12.6307    1026.4878   ✓       
44    LTMDKLC+57.021F          0.3482      Prosit      -10.8325    1026.4878   ✓       
45    MTLDKLC+57.021F          0.3461      Prosit      -13.1353    1026.4878   ✓       
46    MTDLKLC+57.021F          0.3424      Prosit      -12.7906    1026.4878   ✓       
47    Q+0.984TDN+0.984KLC+57.021F0.3419      Prosit      -10.3507    1026.4328   ✓       
48    Q+0.984TDN+0.984KLC+57.021F0.3419      Prosit      -14.3465    1026.4328   ✓       
49    EDTDKLC+57.021F          0.3394      Prosit      -11.5377    1026.4328   ✓       
50    EVDDKDC+57.021F          0.3390      Prosit      -10.8388    1026.3964   ✓       
51    ETDN+0.984KLC+57.021F    0.3336      Prosit      -6.2322     1026.4328   ✓       
52    ETDN+0.984KLC+57.021F    0.3336      Prosit      -10.2280    1026.4328   ✓       
53    ETDN+0.984KLC+57.021F    0.3336      Prosit      -12.4032    1026.4328   ✓       
54    ETDN+0.984KLC+57.021F    0.3336      Prosit      -12.5500    1026.4328   ✓       
55    ETDN+0.984KLC+57.021F    0.3336      Prosit      -12.8729    1026.4328   ✓       
56    ETDN+0.984KLC+57.021F    0.3336      Prosit      -13.2705    1026.4328   ✓       
57    TLMDKLC+57.021F          0.3336      Prosit      -11.8842    1026.4878   ✓       
58    DVMDKLC+57.021F          0.3332      Prosit      -11.6020    1026.4514   ✓       
59    TEDDKLC+57.021F          0.3318      Prosit      -10.4847    1026.4328   ✓       
60    TEDDKLC+57.021F          0.3318      Prosit      -14.4805    1026.4328   ✓       
61    EDDTKLC+57.021F          0.3300      Prosit      -14.1812    1026.4328   ✓       
62    Q+0.984TDDKLC+57.021M+15.9950.3282      Prosit      -14.2959    1026.3998   ✓       
63    EEDSKLC+57.021F          0.3242      Prosit      -13.2218    1026.4328   ✓       
64    +42.011STDDKLC+57.021F   0.3219      Prosit      -13.5914    1026.4328   ✓       
65    DDDDKLC+57.021F          0.3212      Prosit      -10.3858    1026.3964   ✓       
