================================================================================
Spectrum 193
================================================================================

Spectrum Information:
--------------------------------------------------------------------------------
Precursor m/z: 848.4326
Precursor charge: 2+
Ground truth: VGSSYINFVDEQIPK
Ground truth (normalized): VGSSYINFVDEQIPK

Beam Search Results:
--------------------------------------------------------------------------------
Total candidates: 1000
Passed mass check: 419
Used for reranking: 419

Candidate Statistics:
--------------------------------------------------------------------------------
Total candidates: 1000
Passed mass check: 419 (41.9%)
Database matches: 233 (23.3%)
Prosit predictions: 156 (15.6%)
Failed: 30 (3.0%)

Ground Truth Analysis:
--------------------------------------------------------------------------------
Ground truth found: ✓
Rank in beam search: 1/1000
Rank by similarity: 1/1000
Similarity: 0.9589
Source: Database
Passed mass check: ✓

All 1000 Candidates (sorted by similarity):
------------------------------------------------------------------------------------------------------------------------
Rank  Peptide                  Similarity  Source      BeamScore   Mass        Pass    Correct
------------------------------------------------------------------------------------------------------------------------
1     VGSSYLNFVDEQLPK          0.9589      Database    -0.8307     1694.8516   ✓       ✓
2     VGSSYLNFVDEQLPK          0.9589      Database    -0.9175     1694.8516   ✓       ✓
3     VGSSYLNFVDEQLPK          0.9589      Database    -3.2333     1694.8516   ✓       ✓
4     VGSSYLNFVDEQLPK          0.9589      Database    -3.3201     1694.8516   ✓       ✓
5     VGSSYLNFVDEQLPK          0.9589      Database    -3.7900     1694.8516   ✓       ✓
6     VGSSYLNFVDEQLPK          0.9589      Database    -3.8768     1694.8516   ✓       ✓
7     VGSSYLNFVDEQLPK          0.9589      Database    -4.3778     1694.8516   ✓       ✓
8     VGSSYLNFVDEQLPK          0.9589      Database    -4.4646     1694.8516   ✓       ✓
9     VGSSYLNFVDEQLPK          0.9589      Database    -6.1693     1694.8516   ✓       ✓
10    VGSSYLNFVDEQLPK          0.9589      Database    -6.1926     1694.8516   ✓       ✓
11    VGSSYLNFVDEQLPK          0.9589      Database    -6.2561     1694.8516   ✓       ✓
12    VGSSYLNFVDEQLPK          0.9589      Database    -6.2794     1694.8516   ✓       ✓
13    VGSSYLNFVDEQLPK          0.9589      Database    -7.0225     1694.8516   ✓       ✓
14    VGSSYLNFVDEQLPK          0.9589      Database    -7.1093     1694.8516   ✓       ✓
15    VGSSYLNFVDEQLPK          0.9589      Database    -7.3371     1694.8516   ✓       ✓
16    VGSSYLNFVDEQLPK          0.9589      Database    -7.4239     1694.8516   ✓       ✓
17    VGSSYLNFVDEQLPK          0.9589      Database    -8.1513     1694.8516   ✓       ✓
18    VGSSYLNFVDEQLPK          0.9589      Database    -8.2381     1694.8516   ✓       ✓
19    VGSSYLNFVDEQLPK          0.9589      Database    -8.5719     1694.8516   ✓       ✓
20    VGSSYLNFVDEQLPK          0.9589      Database    -8.6587     1694.8516   ✓       ✓
21    VGSSYLNFVDEQLPK          0.9589      Database    -9.1286     1694.8516   ✓       ✓
22    VGSSYLNFVDEQLPK          0.9589      Database    -9.2154     1694.8516   ✓       ✓
23    VGSSYLNFVDEQLPK          0.9589      Database    -9.3980     1694.8516   ✓       ✓
24    VGSSYLNFVDEQLPK          0.9589      Database    -9.4250     1694.8516   ✓       ✓
25    VGSSYLNFVDEQLPK          0.9589      Database    -9.4848     1694.8516   ✓       ✓
26    VGSSYLNFVDEQLPK          0.9589      Database    -9.5118     1694.8516   ✓       ✓
27    VGSSYLNFVDEQLPK          0.9589      Database    -9.7164     1694.8516   ✓       ✓
28    VGSSYLNFVDEQLPK          0.9589      Database    -9.8032     1694.8516   ✓       ✓
29    VGSSYLNFVDEQLPK          0.9589      Database    -9.9817     1694.8516   ✓       ✓
30    VGSSYLNFVDEQLPK          0.9589      Database    -10.0686    1694.8516   ✓       ✓
31    VGSSYLNFVDEQLPK          0.9589      Database    -10.5539    1694.8516   ✓       ✓
32    VGSSYLNFVDEQLPK          0.9589      Database    -10.5695    1694.8516   ✓       ✓
33    VGSSYLNFVDEQLPK          0.9589      Database    -10.6407    1694.8516   ✓       ✓
34    VGSSYLNFVDEQLPK          0.9589      Database    -10.6563    1694.8516   ✓       ✓
35    VGSSYLNFVDEQLPK          0.9589      Database    -11.1106    1694.8516   ✓       ✓
36    VGSSYLNFVDEQLPK          0.9589      Database    -11.1974    1694.8516   ✓       ✓
37    VGSSYLNFVDEQLPK          0.9589      Database    -11.5312    1694.8516   ✓       ✓
38    VGSSYLNFVDEQLPK          0.9589      Database    -11.6180    1694.8516   ✓       ✓
39    VGSSYLNFVDEQLPK          0.9589      Database    -11.6983    1694.8516   ✓       ✓
40    VGSSYLNFVDEQLPK          0.9589      Database    -11.7852    1694.8516   ✓       ✓
41    VGSSYLNFVDEQLPK          0.9589      Database    -11.8006    1694.8516   ✓       ✓
42    VGSSYLNFVDEQLPK          0.9589      Database    -11.8874    1694.8516   ✓       ✓
43    VGSSYLNFVDEQLPK          0.9589      Database    -12.3573    1694.8516   ✓       ✓
44    VGSSYLNFVDEQLPK          0.9589      Database    -12.3610    1694.8516   ✓       ✓
45    VGSSYLNFVDEQLPK          0.9589      Database    -12.3843    1694.8516   ✓       ✓
46    VGSSYLNFVDEQLPK          0.9589      Database    -12.4441    1694.8516   ✓       ✓
47    VGSSYLNFVDEQLPK          0.9589      Database    -12.4478    1694.8516   ✓       ✓
48    VGSSYLNFVDEQLPK          0.9589      Database    -12.4711    1694.8516   ✓       ✓
49    VGSSYLNFVDEQLPK          0.9589      Database    -12.6756    1694.8516   ✓       ✓
50    VGSSYLNFVDEQLPK          0.9589      Database    -12.7625    1694.8516   ✓       ✓
51    VGSSYLNFVDEQLPK          0.9589      Database    -12.9451    1694.8516   ✓       ✓
52    VGSSYLNFVDEQLPK          0.9589      Database    -12.9596    1694.8516   ✓       ✓
53    VGSSYLNFVDEQLPK          0.9589      Database    -12.9890    1694.8516   ✓       ✓
54    VGSSYLNFVDEQLPK          0.9589      Database    -13.0319    1694.8516   ✓       ✓
55    VGSSYLNFVDEQLPK          0.9589      Database    -13.0464    1694.8516   ✓       ✓
56    VGSSYLNFVDEQLPK          0.9589      Database    -13.0665    1694.8516   ✓       ✓
57    VGSSYLNFVDEQLPK          0.9589      Database    -13.0758    1694.8516   ✓       ✓
58    VGSSYLNFVDEQLPK          0.9589      Database    -13.1534    1694.8516   ✓       ✓
59    VGSSYLNFVDEQLPK          0.9589      Database    -13.4899    1694.8516   ✓       ✓
60    VGSSYLNFVDEQLPK          0.9589      Database    -13.5132    1694.8516   ✓       ✓
