================================================================================
Spectrum 213
================================================================================

Spectrum Information:
--------------------------------------------------------------------------------
Precursor m/z: 487.2695
Precursor charge: 3+
Ground truth: QVAASTAQIIVAC+57.021K
Ground truth (normalized): QVAASTAQIIVAC+57.021K

Beam Search Results:
--------------------------------------------------------------------------------
Total candidates: 1000
Passed mass check: 337
Used for reranking: 337

Candidate Statistics:
--------------------------------------------------------------------------------
Total candidates: 1000
Passed mass check: 337 (33.7%)
Database matches: 273 (27.3%)
Prosit predictions: 63 (6.3%)
Failed: 1 (0.1%)

Ground Truth Analysis:
--------------------------------------------------------------------------------
Ground truth found: ✓
Rank in beam search: 1/1000
Rank by similarity: 1/1000
Similarity: 0.9507
Source: Database
Passed mass check: ✓

All 1000 Candidates (sorted by similarity):
------------------------------------------------------------------------------------------------------------------------
Rank  Peptide                  Similarity  Source      BeamScore   Mass        Pass    Correct
------------------------------------------------------------------------------------------------------------------------
1     QVAASTAQLLVAC+57.021K    0.9507      Database    -0.1057     1458.7864   ✓       ✓
2     QVAASTAQLLVAC+57.021K    0.9507      Database    -3.0702     1458.7864   ✓       ✓
3     QVAASTAQLLVAC+57.021K    0.9507      Database    -4.3521     1458.7864   ✓       ✓
4     QVAASTAQLLVAC+57.021K    0.9507      Database    -4.3911     1458.7864   ✓       ✓
5     QVAASTAQLLVAC+57.021K    0.9507      Database    -4.4178     1458.7864   ✓       ✓
6     QVAASTAQLLVAC+57.021K    0.9507      Database    -5.1478     1458.7864   ✓       ✓
7     QVAASTAQLLVAC+57.021K    0.9507      Database    -5.1663     1458.7864   ✓       ✓
8     QVAASTAQLLVAC+57.021K    0.9507      Database    -7.3166     1458.7864   ✓       ✓
9     QVAASTAQLLVAC+57.021K    0.9507      Database    -7.3556     1458.7864   ✓       ✓
10    QVAASTAQLLVAC+57.021K    0.9507      Database    -7.3823     1458.7864   ✓       ✓
11    QVAASTAQLLVAC+57.021K    0.9507      Database    -7.4392     1458.7864   ✓       ✓
12    QVAASTAQLLVAC+57.021K    0.9507      Database    -7.5820     1458.7864   ✓       ✓
13    QVAASTAQLLVAC+57.021K    0.9507      Database    -8.1124     1458.7864   ✓       ✓
14    QVAASTAQLLVAC+57.021K    0.9507      Database    -8.1308     1458.7864   ✓       ✓
15    QVAASTAQLLVAC+57.021K    0.9507      Database    -8.6375     1458.7864   ✓       ✓
16    QVAASTAQLLVAC+57.021K    0.9507      Database    -8.6642     1458.7864   ✓       ✓
17    QVAASTAQLLVAC+57.021K    0.9507      Database    -8.7032     1458.7864   ✓       ✓
18    QVAASTAQLLVAC+57.021K    0.9507      Database    -9.3943     1458.7864   ✓       ✓
19    QVAASTAQLLVAC+57.021K    0.9507      Database    -9.4127     1458.7864   ✓       ✓
20    QVAASTAQLLVAC+57.021K    0.9507      Database    -9.4333     1458.7864   ✓       ✓
21    QVAASTAQLLVAC+57.021K    0.9507      Database    -9.4517     1458.7864   ✓       ✓
22    QVAASTAQLLVAC+57.021K    0.9507      Database    -9.4600     1458.7864   ✓       ✓
23    QVAASTAQLLVAC+57.021K    0.9507      Database    -9.4784     1458.7864   ✓       ✓
24    QVAASTAQLLVAC+57.021K    0.9507      Database    -10.2084    1458.7864   ✓       ✓
25    QVAASTAQLLVAC+57.021K    0.9507      Database    -10.3073    1458.7864   ✓       ✓
26    QVAASTAQLLVAC+57.021K    0.9507      Database    -10.4037    1458.7864   ✓       ✓
27    QVAASTAQLLVAC+57.021K    0.9507      Database    -10.5465    1458.7864   ✓       ✓
28    QVAASTAQLLVAC+57.021K    0.9507      Database    -11.6020    1458.7864   ✓       ✓
29    QVAASTAQLLVAC+57.021K    0.9507      Database    -11.6288    1458.7864   ✓       ✓
30    QVAASTAQLLVAC+57.021K    0.9507      Database    -11.6677    1458.7864   ✓       ✓
31    QVAASTAQLLVAC+57.021K    0.9507      Database    -11.6856    1458.7864   ✓       ✓
32    QVAASTAQLLVAC+57.021K    0.9507      Database    -11.7246    1458.7864   ✓       ✓
33    QVAASTAQLLVAC+57.021K    0.9507      Database    -11.7513    1458.7864   ✓       ✓
34    QVAASTAQLLVAC+57.021K    0.9507      Database    -11.8284    1458.7864   ✓       ✓
35    QVAASTAQLLVAC+57.021K    0.9507      Database    -11.8674    1458.7864   ✓       ✓
36    QVAASTAQLLVAC+57.021K    0.9507      Database    -11.8941    1458.7864   ✓       ✓
37    QVAASTAQLLVAC+57.021K    0.9507      Database    -12.2182    1458.7864   ✓       ✓
