================================================================================
Spectrum 216
================================================================================

Spectrum Information:
--------------------------------------------------------------------------------
Precursor m/z: 735.8486
Precursor charge: 2+
Ground truth: FPQIDSTSFAN+0.984SR
Ground truth (normalized): FPQIDSTSFAN+0.984SR

Beam Search Results:
--------------------------------------------------------------------------------
Total candidates: 1000
Passed mass check: 220
Used for reranking: 220

Candidate Statistics:
--------------------------------------------------------------------------------
Total candidates: 1000
Passed mass check: 220 (22.0%)
Database matches: 119 (11.9%)
Prosit predictions: 82 (8.2%)
Failed: 19 (1.9%)

Ground Truth Analysis:
--------------------------------------------------------------------------------
Ground truth found: ✓
Rank in beam search: 1/1000
Rank by similarity: 1/1000
Similarity: 0.6424
Source: Database
Passed mass check: ✓

All 1000 Candidates (sorted by similarity):
------------------------------------------------------------------------------------------------------------------------
Rank  Peptide                  Similarity  Source      BeamScore   Mass        Pass    Correct
------------------------------------------------------------------------------------------------------------------------
1     FPQLDSTSFAN+0.984SR      0.6424      Database    -0.7749     1469.6787   ✓       ✓
2     FPQLDSTSFAN+0.984SR      0.6424      Database    -1.2999     1469.6787   ✓       ✓
3     FPQLDSTSFAN+0.984SR      0.6424      Database    -2.4700     1469.6787   ✓       ✓
4     FPQLDSTSFAN+0.984SR      0.6424      Database    -2.8171     1469.6787   ✓       ✓
5     FPQLDSTSFAN+0.984SR      0.6424      Database    -2.9950     1469.6787   ✓       ✓
6     FPQLDSTSFAN+0.984SR      0.6424      Database    -3.3421     1469.6787   ✓       ✓
7     FPQLDSTSFAN+0.984SR      0.6424      Database    -4.5122     1469.6787   ✓       ✓
8     FPQLDSTSFAN+0.984SR      0.6424      Database    -5.0372     1469.6787   ✓       ✓
9     FPQLDSTSFAN+0.984SR      0.6424      Database    -8.3912     1469.6787   ✓       ✓
10    FPQLDSTSFAN+0.984SR      0.6424      Database    -8.4216     1469.6787   ✓       ✓
11    FPQLDSTSFAN+0.984SR      0.6424      Database    -8.9161     1469.6787   ✓       ✓
12    FPQLDSTSFAN+0.984SR      0.6424      Database    -8.9465     1469.6787   ✓       ✓
13    FPQLDSTSFAN+0.984SR      0.6424      Database    -10.0863    1469.6787   ✓       ✓
14    FPQLDSTSFAN+0.984SR      0.6424      Database    -10.1167    1469.6787   ✓       ✓
15    FPQLDSTSFAN+0.984SR      0.6424      Database    -10.4334    1469.6787   ✓       ✓
16    FPQLDSTSFAN+0.984SR      0.6424      Database    -10.4638    1469.6787   ✓       ✓
17    FPQLDSTSFAN+0.984SR      0.6424      Database    -10.6112    1469.6787   ✓       ✓
18    FPQLDSTSFAN+0.984SR      0.6424      Database    -10.6416    1469.6787   ✓       ✓
19    FPQLDSTSFAN+0.984SR      0.6424      Database    -10.9583    1469.6787   ✓       ✓
20    FPQLDSTSFAN+0.984SR      0.6424      Database    -10.9887    1469.6787   ✓       ✓
21    FPQLDSTSFAN+0.984SR      0.6424      Database    -11.5841    1469.6787   ✓       ✓
22    FPQLDSTSFAN+0.984SR      0.6424      Database    -12.1090    1469.6787   ✓       ✓
23    FPQLDSTSFAN+0.984SR      0.6424      Database    -12.1285    1469.6787   ✓       ✓
24    FPQLDSTSFAN+0.984SR      0.6424      Database    -12.1589    1469.6787   ✓       ✓
25    FPQLDSTSFAN+0.984SR      0.6424      Database    -12.4838    1469.6787   ✓       ✓
26    FPQLDSTSFAN+0.984SR      0.6424      Database    -12.5218    1469.6787   ✓       ✓
27    FPQLDSTSFAN+0.984SR      0.6424      Database    -12.6534    1469.6787   ✓       ✓
28    FPQLDSTSFAN+0.984SR      0.6424      Database    -12.6838    1469.6787   ✓       ✓
29    FPQLDSTSFAN+0.984SR      0.6424      Database    -13.0087    1469.6787   ✓       ✓
30    FPQLDSTSFAN+0.984SR      0.6424      Database    -13.0467    1469.6787   ✓       ✓
31    FPQLDSTSFAN+0.984SR      0.6424      Database    -13.2792    1469.6787   ✓       ✓
32    FPQLDSTSFAN+0.984SR      0.6424      Database    -13.5301    1469.6787   ✓       ✓
33    FPQLDSTSFAN+0.984SR      0.6424      Database    -13.6263    1469.6787   ✓       ✓
34    FPQLDSTSFAN+0.984SR      0.6424      Database    -13.8041    1469.6787   ✓       ✓
35    FPQLDSTSFAN+0.984SR      0.6424      Database    -14.0550    1469.6787   ✓       ✓
36    FPQLDSTSFAN+0.984SR      0.6424      Database    -14.1512    1469.6787   ✓       ✓
37    FPQLDSTSFAN+0.984SR      0.6424      Database    -14.1789    1469.6787   ✓       ✓
38    FPQLDSTSFAN+0.984SR      0.6424      Database    -14.2169    1469.6787   ✓       ✓
39    FPQLDSTSFAN+0.984SR      0.6424      Database    -14.3232    1469.6787   ✓       ✓
40    FPQLDSTSFAN+0.984SR      0.6424      Database    -14.3321    1469.6787   ✓       ✓
41    FPQLDSTSFAN+0.984SR      0.6424      Database    -14.5260    1469.6787   ✓       ✓
42    FPQLDSTSFAN+0.984SR      0.6424      Database    -14.5640    1469.6787   ✓       ✓
43    FPQLDSTSFAN+0.984SR      0.6424      Database    -14.7038    1469.6787   ✓       ✓
44    FPQLDSTSFAN+0.984SR      0.6424      Database    -14.7418    1469.6787   ✓       ✓
45    FPQLDSTSFAN+0.984SR      0.6424      Database    -15.0509    1469.6787   ✓       ✓
46    FPQLDSTSFAN+0.984SR      0.6424      Database    -15.0889    1469.6787   ✓       ✓
47    FPQLDSTSFAN+0.984SR      0.6424      Database    -15.2252    1469.6787   ✓       ✓
48    FPQLDSTSFAN+0.984SR      0.6424      Database    -15.3214    1469.6787   ✓       ✓
49    FPQLDSTSFAN+0.984SR      0.6424      Database    -15.3383    1469.6787   ✓       ✓
50    FPQLDSTSFAN+0.984SR      0.6424      Database    -15.4345    1469.6787   ✓       ✓
51    FPQLDSTSFAN+0.984SR      0.6424      Database    -15.5213    1469.6787   ✓       ✓
52    FPQLDSTSFAN+0.984SR      0.6424      Database    -15.5723    1469.6787   ✓       ✓
53    FPQLDSTSFAN+0.984SR      0.6424      Database    -15.7501    1469.6787   ✓       ✓
54    FPQLDSTSFAN+0.984SR      0.6424      Database    -15.8126    1469.6787   ✓       ✓
55    FPQLDSTSFAN+0.984SR      0.6424      Database    -15.8463    1469.6787   ✓       ✓
56    FPQLDSTSFAN+0.984SR      0.6424      Database    -15.9594    1469.6787   ✓       ✓
57    FPQLDSTSFAN+0.984SR      0.6424      Database    -16.0183    1469.6787   ✓       ✓
58    FPQLDSTSFAN+0.984SR      0.6424      Database    -16.0272    1469.6787   ✓       ✓
59    FPQLDSTSFAN+0.984SR      0.6424      Database    -16.0379    1469.6787   ✓       ✓
60    FPQLDSTSFAN+0.984SR      0.6424      Database    -16.0462    1469.6787   ✓       ✓
61    FPQLDSTSFAN+0.984SR      0.6424      Database    -16.0972    1469.6787   ✓       ✓
62    FPQLDSTSFAN+0.984SR      0.6424      Database    -16.2211    1469.6787   ✓       ✓
63    FPQLDSTSFAN+0.984SR      0.6424      Database    -16.2439    1469.6787   ✓       ✓
64    FPQLDSTSFAN+0.984SR      0.6424      Database    -16.2591    1469.6787   ✓       ✓
65    FPQLDSTSFAN+0.984SR      0.6424      Database    -16.3375    1469.6787   ✓       ✓
66    FPQLDSTSFAN+0.984SR      0.6424      Database    -16.3654    1469.6787   ✓       ✓
67    FPQLDSTSFAN+0.984SR      0.6424      Database    -16.3743    1469.6787   ✓       ✓
68    FPQLDSTSFAN+0.984SR      0.6424      Database    -16.5628    1469.6787   ✓       ✓
69    FPQLDSTSFAN+0.984SR      0.6424      Database    -16.7460    1469.6787   ✓       ✓
70    FPQLDSTSFAN+0.984SR      0.6424      Database    -16.7688    1469.6787   ✓       ✓
71    FPQLDSTSFAN+0.984SR      0.6424      Database    -16.7840    1469.6787   ✓       ✓
72    FPQLDSTSFAN+0.984SR      0.6424      Database    -16.9332    1469.6787   ✓       ✓
73    FPQLDSTSFAN+0.984SR      0.6424      Database    -16.9926    1469.6787   ✓       ✓
74    FPQLDSTSFAN+0.984SR      0.6424      Database    -17.0334    1469.6787   ✓       ✓
75    FPQLDSTSFAN+0.984SR      0.6424      Database    -17.1296    1469.6787   ✓       ✓
76    FPQLDSTSFAN+0.984SR      0.6424      Database    -17.2164    1469.6787   ✓       ✓
77    FPQLDSTSFAN+0.984SR      0.6424      Database    -17.2674    1469.6787   ✓       ✓
78    FPQLDSTSFAN+0.984SR      0.6424      Database    -17.3805    1469.6787   ✓       ✓
79    FPQLDSTSFAN+0.984SR      0.6424      Database    -17.4581    1469.6787   ✓       ✓
80    FPQLDSTSFAN+0.984SR      0.6424      Database    -17.4767    1469.6787   ✓       ✓
81    FPQLDSTSFAN+0.984SR      0.6424      Database    -17.5077    1469.6787   ✓       ✓
82    FPQLDSTSFAN+0.984SR      0.6424      Database    -17.5176    1469.6787   ✓       ✓
83    FPQLDSTSFAN+0.984SR      0.6424      Database    -17.5635    1469.6787   ✓       ✓
84    FPQLDSTSFAN+0.984SR      0.6424      Database    -17.6545    1469.6787   ✓       ✓
85    FPQLDSTSFAN+0.984SR      0.6424      Database    -17.7330    1469.6787   ✓       ✓
86    FPQLDSTSFAN+0.984SR      0.6424      Database    -17.7413    1469.6787   ✓       ✓
87    FPQLDSTSFAN+0.984SR      0.6424      Database    -17.7923    1469.6787   ✓       ✓
88    FPQLDSTSFAN+0.984SR      0.6424      Database    -17.8548    1469.6787   ✓       ✓
89    FPQLDSTSFAN+0.984SR      0.6424      Database    -17.8607    1469.6787   ✓       ✓
90    FPQLDSTSFAN+0.984SR      0.6424      Database    -17.9390    1469.6787   ✓       ✓
91    FPQLDSTSFAN+0.984SR      0.6424      Database    -18.0016    1469.6787   ✓       ✓
92    FPQLDSTSFAN+0.984SR      0.6424      Database    -18.0326    1469.6787   ✓       ✓
93    FPQLDSTSFAN+0.984SR      0.6424      Database    -18.0604    1469.6787   ✓       ✓
94    FPQLDSTSFAN+0.984SR      0.6424      Database    -18.0694    1469.6787   ✓       ✓
95    FPQLDSTSFAN+0.984SR      0.6424      Database    -18.0801    1469.6787   ✓       ✓
96    FPQLDSTSFAN+0.984SR      0.6424      Database    -18.0884    1469.6787   ✓       ✓
97    FPQLDSTSFAN+0.984SR      0.6424      Database    -18.2579    1469.6787   ✓       ✓
98    FPQLDSTSFAN+0.984SR      0.6424      Database    -18.2861    1469.6787   ✓       ✓
99    FPQLDSTSFAN+0.984SR      0.6424      Database    -18.3797    1469.6787   ✓       ✓
100   FPQLDSTSFAN+0.984SR      0.6424      Database    -18.3857    1469.6787   ✓       ✓
101   FPQLDSTSFAN+0.984SR      0.6424      Database    -18.4639    1469.6787   ✓       ✓
102   FPQ+0.984LDSTSFANSR      0.6424      Database    -18.5052    1469.6787   ✓       
103   FPQLDSTSFAN+0.984SR      0.6424      Database    -18.6050    1469.6787   ✓       ✓
104   FPQLDSTSFAN+0.984SR      0.6424      Database    -18.6283    1469.6787   ✓       ✓
105   FPQLDSTSFAN+0.984SR      0.6424      Database    -18.6877    1469.6787   ✓       ✓
106   FPQLDSTSFAN+0.984SR      0.6424      Database    -18.7715    1469.6787   ✓       ✓
107   FPQLDSTSFAN+0.984SR      0.6424      Database    -18.8110    1469.6787   ✓       ✓
108   FPQLDSTSFAN+0.984SR      0.6424      Database    -18.9754    1469.6787   ✓       ✓
109   FPQ+0.984LDSTSFANSR      0.6424      Database    -19.0301    1469.6787   ✓       
110   FPQLDSTSFAN+0.984SR      0.6424      Database    -19.0348    1469.6787   ✓       ✓
111   FPQLDSTSFAN+0.984SR      0.6424      Database    -19.0756    1469.6787   ✓       ✓
112   FPQLDSTSFAN+0.984SR      0.6424      Database    -19.1532    1469.6787   ✓       ✓
113   FPQLDSTSFAN+0.984SR      0.6424      Database    -19.1718    1469.6787   ✓       ✓
114   FPQLDSTSFAN+0.984SR      0.6424      Database    -19.2004    1469.6787   ✓       ✓
115   FPQLDSTSFAN+0.984SR      0.6424      Database    -19.2127    1469.6787   ✓       ✓
116   FPQLDSTSFAN+0.984SR      0.6424      Database    -19.2308    1469.6787   ✓       ✓
117   FPQLDSTSFAN+0.984SR      0.6424      Database    -19.2586    1469.6787   ✓       ✓
118   FPQLDSTSFAN+0.984SR      0.6424      Database    -19.2964    1469.6787   ✓       ✓
