================================================================================
Spectrum 219
================================================================================

Spectrum Information:
--------------------------------------------------------------------------------
Precursor m/z: 699.3229
Precursor charge: 2+
Ground truth: IFDDSPC+57.021PFTAK
Ground truth (normalized): IFDDSPC+57.021PFTAK

Beam Search Results:
--------------------------------------------------------------------------------
Total candidates: 1000
Passed mass check: 203
Used for reranking: 203

Candidate Statistics:
--------------------------------------------------------------------------------
Total candidates: 1000
Passed mass check: 203 (20.3%)
Database matches: 107 (10.7%)
Prosit predictions: 91 (9.1%)
Failed: 5 (0.5%)

Ground Truth Analysis:
--------------------------------------------------------------------------------
Ground truth found: ✓
Rank in beam search: 1/1000
Rank by similarity: 1/1000
Similarity: 0.8836
Source: Database
Passed mass check: ✓

All 1000 Candidates (sorted by similarity):
------------------------------------------------------------------------------------------------------------------------
Rank  Peptide                  Similarity  Source      BeamScore   Mass        Pass    Correct
------------------------------------------------------------------------------------------------------------------------
1     LFDDSPC+57.021PFTAK      0.8836      Database    -0.0326     1396.6333   ✓       ✓
2     LFDDSPC+57.021PFTAK      0.8836      Database    -3.6833     1396.6333   ✓       ✓
3     LFDDSPC+57.021PFTAK      0.8836      Database    -5.4968     1396.6333   ✓       ✓
4     LFDDSPC+57.021PFTAK      0.8836      Database    -6.3467     1396.6333   ✓       ✓
5     LFDDSPC+57.021PFTAK      0.8836      Database    -9.1475     1396.6333   ✓       ✓
6     LFDDSPC+57.021PFTAK      0.8836      Database    -10.1810    1396.6333   ✓       ✓
7     LFDDSPC+57.021PFTAK      0.8836      Database    -11.4771    1396.6333   ✓       ✓
8     LFDDSPC+57.021PFTAK      0.8836      Database    -11.7168    1396.6333   ✓       ✓
9     LFDDSPC+57.021PFTAK      0.8836      Database    -11.8109    1396.6333   ✓       ✓
10    LFDDSPC+57.021PFTAK      0.8836      Database    -13.8317    1396.6333   ✓       ✓
11    LFDDSPC+57.021PFTAK      0.8836      Database    -14.3763    1396.6333   ✓       ✓
12    LFDDSPC+57.021PFTAK      0.8836      Database    -15.1278    1396.6333   ✓       ✓
13    LFDDSPC+57.021PFTAK      0.8836      Database    -15.3675    1396.6333   ✓       ✓
14    LFDDSPC+57.021PFTAK      0.8836      Database    -15.6452    1396.6333   ✓       ✓
15    LFDDSPC+57.021PFTAK      0.8836      Database    -15.6754    1396.6333   ✓       ✓
16    LFDDSPC+57.021PFTAK      0.8836      Database    -16.4951    1396.6333   ✓       ✓
17    LFDDSPC+57.021PFTAK      0.8836      Database    -16.7795    1396.6333   ✓       ✓
18    LFDDSPC+57.021PFTAK      0.8836      Database    -16.9107    1396.6333   ✓       ✓
19    LFDDSPC+57.021PFTAK      0.8836      Database    -16.9413    1396.6333   ✓       ✓
20    LFDDSPC+57.021PFTAK      0.8836      Database    -17.1811    1396.6333   ✓       ✓
21    LFDDSPC+57.021PFTAK      0.8836      Database    -17.7911    1396.6333   ✓       ✓
22    LFDDSPC+57.021PFTAK      0.8836      Database    -17.8145    1396.6333   ✓       ✓
23    LFDDSPC+57.021PFTAK      0.8836      Database    -18.0270    1396.6333   ✓       ✓
24    LFDDSPC+57.021PFTAK      0.8836      Database    -18.0309    1396.6333   ✓       ✓
25    LFDDSPC+57.021PFTAK      0.8836      Database    -18.2510    1396.6333   ✓       ✓
26    LFDDSPC+57.021PFTAK      0.8836      Database    -18.7701    1396.6333   ✓       ✓
27    LFDDSPC+57.021PFTAK      0.8836      Database    -18.7792    1396.6333   ✓       ✓
28    LFDDSPC+57.021PFTAK      0.8836      Database    -18.8185    1396.6333   ✓       ✓
29    LFDDSPC+57.021PFTAK      0.8836      Database    -18.8983    1396.6333   ✓       ✓
30    LFDDSPC+57.021PFTAK      0.8836      Database    -19.2959    1396.6333   ✓       ✓
31    LFDDSPC+57.021PFTAK      0.8836      Database    -19.3261    1396.6333   ✓       ✓
32    LFDDSPC+57.021PFTAK      0.8836      Database    -19.8405    1396.6333   ✓       ✓
33    LFDDSPC+57.021PFTAK      0.8836      Database    -20.1998    1396.6333   ✓       ✓
34    LFDDSPC+57.021PFTAK      0.8836      Database    -20.4301    1396.6333   ✓       ✓
35    LFDDSPC+57.021PFTAK      0.8836      Database    -20.5613    1396.6333   ✓       ✓
36    LFDDSPC+57.021PFTAK      0.8836      Database    -20.5920    1396.6333   ✓       ✓
37    LFDDSPC+57.021PFTAK      0.8836      Database    -20.6904    1396.6333   ✓       ✓
38    LFDDSPC+57.021PFTAK      0.8836      Database    -20.8318    1396.6333   ✓       ✓
39    LFDDSPC+57.021PFTAK      0.8836      Database    -20.9857    1396.6333   ✓       ✓
40    LFDDSPC+57.021PFTAK      0.8836      Database    -21.1396    1396.6333   ✓       ✓
41    LFDDSPC+57.021PFTAK      0.8836      Database    -21.4652    1396.6333   ✓       ✓
42    LFDDSPC+57.021PFTAK      0.8836      Database    -21.6255    1396.6333   ✓       ✓
43    LFDDSPC+57.021PFTAK      0.8836      Database    -21.8652    1396.6333   ✓       ✓
44    LFDDSPC+57.021PFTAK      0.8836      Database    -21.9017    1396.6333   ✓       ✓
45    LFDDSPC+57.021PFTAK      0.8836      Database    -21.9593    1396.6333   ✓       ✓
46    LFDDSPC+57.021PFTAK      0.8836      Database    -21.9895    1396.6333   ✓       ✓
47    LFDDSPC+57.021PFTAK      0.8836      Database    -22.2437    1396.6333   ✓       ✓
48    LFDDSPC+57.021PFTAK      0.8836      Database    -22.3548    1396.6333   ✓       ✓
49    LFDDSPC+57.021PFTAK      0.8836      Database    -22.3749    1396.6333   ✓       ✓
50    LFDDSPC+57.021PFTAK      0.8836      Database    -22.4208    1396.6333   ✓       ✓
51    LFDDSPC+57.021PFTAK      0.8836      Database    -22.4299    1396.6333   ✓       ✓
52    LFDDSPC+57.021PFTAK      0.8836      Database    -22.4692    1396.6333   ✓       ✓
53    LFDDSPC+57.021PFTAK      0.8836      Database    -22.5489    1396.6333   ✓       ✓
54    LFDDSPC+57.021PFTAK      0.8836      Database    -23.0935    1396.6333   ✓       ✓
55    LFDDSPC+57.021PFTAK      0.8836      Database    -23.1613    1396.6333   ✓       ✓
56    LFDDSPC+57.021PFTAK      0.8836      Database    -23.2247    1396.6333   ✓       ✓
57    LFDDSPC+57.021PFTAK      0.8836      Database    -23.2554    1396.6333   ✓       ✓
58    LFDDSPC+57.021PFTAK      0.8836      Database    -23.2788    1396.6333   ✓       ✓
59    LFDDSPC+57.021PFTAK      0.8836      Database    -23.4912    1396.6333   ✓       ✓
60    LFDDSPC+57.021PFTAK      0.8836      Database    -23.4952    1396.6333   ✓       ✓
61    LFDDSPC+57.021PFTAK      0.8836      Database    -23.7152    1396.6333   ✓       ✓
62    LFDDSPC+57.021PFTAK      0.8836      Database    -23.8504    1396.6333   ✓       ✓
63    LFDDSPC+57.021PFTAK      0.8836      Database    -23.9079    1396.6333   ✓       ✓
64    LFDDSPC+57.021PFTAK      0.8836      Database    -24.1286    1396.6333   ✓       ✓
65    LFDDSPC+57.021PFTAK      0.8836      Database    -24.2344    1396.6333   ✓       ✓
66    LFDDSPC+57.021PFTAK      0.8836      Database    -24.2434    1396.6333   ✓       ✓
67    LFDDSPC+57.021PFTAK      0.8836      Database    -24.3625    1396.6333   ✓       ✓
68    LFDDSPC+57.021PFTAK      0.8836      Database    -24.5104    1396.6333   ✓       ✓
69    LFDDSPC+57.021PFTAK      0.8836      Database    -24.5247    1396.6333   ✓       ✓
70    LFDDSPC+57.021PFTAK      0.8836      Database    -24.5293    1396.6333   ✓       ✓
71    LFDDSPC+57.021PFTAK      0.8836      Database    -24.5650    1396.6333   ✓       ✓
72    LFDDSPC+57.021PFTAK      0.8836      Database    -24.6364    1396.6333   ✓       ✓
73    LFDDSPC+57.021PFTAK      0.8836      Database    -24.7903    1396.6333   ✓       ✓
74    LFDDSPC+57.021PFTAK      0.8836      Database    -25.0842    1396.6333   ✓       ✓
75    LFDDSPC+57.021PFTAK      0.8836      Database    -25.0932    1396.6333   ✓       ✓
76    LFDDSPC+57.021PFTAK      0.8836      Database    -25.1326    1396.6333   ✓       ✓
77    LFDDSPC+57.021PFTAK      0.8836      Database    -25.2123    1396.6333   ✓       ✓
78    LFDDSPC+57.021PFTAK      0.8836      Database    -25.2761    1396.6333   ✓       ✓
79    LFDDSPC+57.021PFTAK      0.8836      Database    -25.5159    1396.6333   ✓       ✓
80    LFDDSPC+57.021PFTAK      0.8836      Database    -25.6640    1396.6333   ✓       ✓
81    LFDDSPC+57.021PFTAK      0.8836      Database    -25.8208    1396.6333   ✓       ✓
82    LFDDSPC+57.021PFTAK      0.8836      Database    -25.8238    1396.6333   ✓       ✓
83    LFDDSPC+57.021PFTAK      0.8836      Database    -25.8944    1396.6333   ✓       ✓
