================================================================================
Spectrum 237
================================================================================

Spectrum Information:
--------------------------------------------------------------------------------
Precursor m/z: 520.9005
Precursor charge: 3+
Ground truth: SGC+57.021NHPDIDVQYR
Ground truth (normalized): SGC+57.021NHPDIDVQYR

Beam Search Results:
--------------------------------------------------------------------------------
Total candidates: 1000
Passed mass check: 448
Used for reranking: 448

Candidate Statistics:
--------------------------------------------------------------------------------
Total candidates: 1000
Passed mass check: 448 (44.8%)
Database matches: 346 (34.6%)
Prosit predictions: 57 (5.7%)
Failed: 45 (4.5%)

Ground Truth Analysis:
--------------------------------------------------------------------------------
Ground truth found: ✓
Rank in beam search: 1/1000
Rank by similarity: 1/1000
Similarity: 0.7594
Source: Database
Passed mass check: ✓

All 1000 Candidates (sorted by similarity):
------------------------------------------------------------------------------------------------------------------------
Rank  Peptide                  Similarity  Source      BeamScore   Mass        Pass    Correct
------------------------------------------------------------------------------------------------------------------------
1     SGC+57.021NHPDLDVQYR     0.7594      Database    -1.0201     1559.6787   ✓       ✓
2     SGC+57.021NHPDLDVQYR     0.7594      Database    -1.4757     1559.6787   ✓       ✓
3     SGC+57.021NHPDLDVQYR     0.7594      Database    -1.7827     1559.6787   ✓       ✓
4     SGC+57.021NHPDLDVQYR     0.7594      Database    -2.2384     1559.6787   ✓       ✓
5     SGC+57.021NHPDLDVQYR     0.7594      Database    -3.1491     1559.6787   ✓       ✓
6     SGC+57.021NHPDLDVQYR     0.7594      Database    -3.6048     1559.6787   ✓       ✓
7     SGC+57.021NHPDLDVQYR     0.7594      Database    -3.9117     1559.6787   ✓       ✓
8     SGC+57.021NHPDLDVQYR     0.7594      Database    -4.3674     1559.6787   ✓       ✓
9     SGC+57.021NHPDLDVQYR     0.7594      Database    -4.5543     1559.6787   ✓       ✓
10    SGC+57.021NHPDLDVQYR     0.7594      Database    -5.0099     1559.6787   ✓       ✓
11    SGC+57.021NHPDLDVQYR     0.7594      Database    -5.3169     1559.6787   ✓       ✓
12    SGC+57.021NHPDLDVQYR     0.7594      Database    -5.7726     1559.6787   ✓       ✓
13    SGC+57.021NHPDLDVQYR     0.7594      Database    -6.6833     1559.6787   ✓       ✓
14    SGC+57.021NHPDLDVQYR     0.7594      Database    -7.1390     1559.6787   ✓       ✓
15    SGC+57.021NHPDLDVQYR     0.7594      Database    -7.2351     1559.6787   ✓       ✓
16    SGC+57.021NHPDLDVQYR     0.7594      Database    -7.2963     1559.6787   ✓       ✓
17    SGC+57.021NHPDLDVQYR     0.7594      Database    -7.4459     1559.6787   ✓       ✓
