================================================================================
Spectrum 241
================================================================================

Spectrum Information:
--------------------------------------------------------------------------------
Precursor m/z: 644.8377
Precursor charge: 2+
Ground truth: GIC+57.021AIAQAESIR
Ground truth (normalized): GIC+57.021AIAQAESIR

Beam Search Results:
--------------------------------------------------------------------------------
Total candidates: 1000
Passed mass check: 257
Used for reranking: 257

Candidate Statistics:
--------------------------------------------------------------------------------
Total candidates: 1000
Passed mass check: 257 (25.7%)
Database matches: 169 (16.9%)
Prosit predictions: 81 (8.1%)
Failed: 7 (0.7%)

Ground Truth Analysis:
--------------------------------------------------------------------------------
Ground truth found: ✓
Rank in beam search: 1/1000
Rank by similarity: 11/1000
Similarity: 0.5800
Source: Database
Passed mass check: ✓

All 1000 Candidates (sorted by similarity):
------------------------------------------------------------------------------------------------------------------------
Rank  Peptide                  Similarity  Source      BeamScore   Mass        Pass    Correct
------------------------------------------------------------------------------------------------------------------------
1     GLC+57.021ALAKAESLR      0.6009      Prosit      -18.3704    1287.6969   ✓       
2     GLC+57.021ALAKAESLR      0.6009      Prosit      -19.9914    1287.6969   ✓       
3     GLC+57.021ALAKAESLR      0.6009      Prosit      -25.7052    1287.6969   ✓       
4     GLC+57.021ALAKAESLR      0.6009      Prosit      -25.7722    1287.6969   ✓       
5     GLC+57.021ALAKAESLR      0.6009      Prosit      -27.3262    1287.6969   ✓       
6     GLC+57.021ALAKAESLR      0.6009      Prosit      -27.3933    1287.6969   ✓       
7     GLC+57.021ALAKAESLR      0.6009      Prosit      -30.8740    1287.6969   ✓       
8     AVC+57.021ALAQAESLR      0.6008      Prosit      -28.2220    1287.6605   ✓       
9     AVC+57.021ALAQAESLR      0.6008      Prosit      -29.8430    1287.6605   ✓       
10    AVC+57.021ALAQAESLR      0.6008      Prosit      -35.6238    1287.6605   ✓       
11    GLC+57.021ALAQAESLR      0.5800      Database    -0.1821     1287.6605   ✓       ✓
12    GLC+57.021ALAQAESLR      0.5800      Database    -1.8032     1287.6605   ✓       ✓
13    GLC+57.021ALAQAESLR      0.5800      Database    -7.5169     1287.6605   ✓       ✓
14    GLC+57.021ALAQAESLR      0.5800      Database    -7.5840     1287.6605   ✓       ✓
15    GLC+57.021ALAQAESLR      0.5800      Database    -8.7361     1287.6605   ✓       ✓
16    GLC+57.021ALAQAESLR      0.5800      Database    -9.1379     1287.6605   ✓       ✓
17    GLC+57.021ALAQAESLR      0.5800      Database    -9.2050     1287.6605   ✓       ✓
18    GLC+57.021ALAQAESLR      0.5800      Database    -10.3571    1287.6605   ✓       ✓
19    GLC+57.021ALAQAESLR      0.5800      Database    -10.4931    1287.6605   ✓       ✓
20    GLC+57.021ALAQAESLR      0.5800      Database    -12.1142    1287.6605   ✓       ✓
21    GLC+57.021ALAQAESLR      0.5800      Database    -12.6857    1287.6605   ✓       ✓
22    GLC+57.021ALAQAESLR      0.5800      Database    -13.9233    1287.6605   ✓       ✓
23    GLC+57.021ALAQAESLR      0.5800      Database    -14.3067    1287.6605   ✓       ✓
24    GLC+57.021ALAQAESLR      0.5800      Database    -14.9187    1287.6605   ✓       ✓
25    GLC+57.021ALAQAESLR      0.5800      Database    -14.9623    1287.6605   ✓       ✓
26    GLC+57.021ALAQAESLR      0.5800      Database    -15.5444    1287.6605   ✓       ✓
27    GLC+57.021ALAQAESLR      0.5800      Database    -16.0708    1287.6605   ✓       ✓
28    GLC+57.021ALAQAESLR      0.5800      Database    -16.0810    1287.6605   ✓       ✓
29    GLC+57.021ALAQAESLR      0.5800      Database    -16.1379    1287.6605   ✓       ✓
30    GLC+57.021ALAQAESLR      0.5800      Database    -16.4036    1287.6605   ✓       ✓
31    GLC+57.021ALAQAESLR      0.5800      Database    -16.5397    1287.6605   ✓       ✓
32    GLC+57.021ALAQAESLR      0.5800      Database    -16.5833    1287.6605   ✓       ✓
33    GLC+57.021ALAQAESLR      0.5800      Database    -17.5149    1287.6605   ✓       ✓
34    GLC+57.021ALAQAESLR      0.5800      Database    -17.5409    1287.6605   ✓       ✓
35    GLC+57.021ALAQAESLR      0.5800      Database    -17.5564    1287.6605   ✓       ✓
36    GLC+57.021ALAQAESLR      0.5800      Database    -17.6918    1287.6605   ✓       ✓
37    GLC+57.021ALAQAESLR      0.5800      Database    -17.7020    1287.6605   ✓       ✓
38    GLC+57.021ALAQAESLR      0.5800      Database    -17.7589    1287.6605   ✓       ✓
39    GLC+57.021ALAQAESLR      0.5800      Database    -17.8279    1287.6605   ✓       ✓
40    GLC+57.021ALAQAESLR      0.5800      Database    -17.8950    1287.6605   ✓       ✓
41    GLC+57.021ALAQAESLR      0.5800      Database    -18.0246    1287.6605   ✓       ✓
42    GLC+57.021ALAQAESLR      0.5800      Database    -18.7895    1287.6605   ✓       ✓
43    GLC+57.021ALAQAESLR      0.5800      Database    -18.9928    1287.6605   ✓       ✓
44    GLC+57.021ALAQAESLR      0.5800      Database    -19.0471    1287.6605   ✓       ✓
45    GLC+57.021ALAQAESLR      0.5800      Database    -19.1274    1287.6605   ✓       ✓
46    GLC+57.021ALAQAESLR      0.5800      Database    -19.1359    1287.6605   ✓       ✓
47    GLC+57.021ALAQAESLR      0.5800      Database    -19.1619    1287.6605   ✓       ✓
48    GLC+57.021ALAQAESLR      0.5800      Database    -19.1774    1287.6605   ✓       ✓
49    GLC+57.021ALAQAESLR      0.5800      Database    -19.4489    1287.6605   ✓       ✓
50    GLC+57.021ALAQAESLR      0.5800      Database    -19.5160    1287.6605   ✓       ✓
51    GLC+57.021ALAQAESLR      0.5800      Database    -20.0875    1287.6605   ✓       ✓
52    GLC+57.021ALAQAESLR      0.5800      Database    -20.1167    1287.6605   ✓       ✓
53    GLC+57.021ALAQAESLR      0.5800      Database    -20.4105    1287.6605   ✓       ✓
54    GLC+57.021ALAQAESLR      0.5800      Database    -20.6139    1287.6605   ✓       ✓
55    GLC+57.021ALAQAESLR      0.5800      Database    -20.6681    1287.6605   ✓       ✓
56    GLC+57.021ALAQAESLR      0.5800      Database    -20.7484    1287.6605   ✓       ✓
57    GLC+57.021ALAQAESLR      0.5800      Database    -21.2397    1287.6605   ✓       ✓
58    GLC+57.021ALAQAESLR      0.5800      Database    -21.2581    1287.6605   ✓       ✓
59    GLC+57.021ALAQAESLR      0.5800      Database    -21.3252    1287.6605   ✓       ✓
60    GLC+57.021ALAQAESLR      0.5800      Database    -21.7085    1287.6605   ✓       ✓
61    GLC+57.021ALAQAESLR      0.5800      Database    -21.7377    1287.6605   ✓       ✓
62    GLC+57.021ALAQAESLR      0.5800      Database    -22.1466    1287.6605   ✓       ✓
63    GLC+57.021ALAQAESLR      0.5800      Database    -22.2387    1287.6605   ✓       ✓
64    GLC+57.021ALAQAESLR      0.5800      Database    -22.2971    1287.6605   ✓       ✓
65    GLC+57.021ALAQAESLR      0.5800      Database    -22.4773    1287.6605   ✓       ✓
66    GLC+57.021ALAQAESLR      0.5800      Database    -22.8607    1287.6605   ✓       ✓
67    GLC+57.021ALAQAESLR      0.5800      Database    -22.8791    1287.6605   ✓       ✓
68    GLC+57.021ALAQAESLR      0.5800      Database    -22.9462    1287.6605   ✓       ✓
69    GLC+57.021ALAQAESLR      0.5800      Database    -22.9967    1287.6605   ✓       ✓
70    GLC+57.021ALAQAESLR      0.5800      Database    -23.4158    1287.6605   ✓       ✓
71    GLC+57.021ALAQAESLR      0.5800      Database    -23.4727    1287.6605   ✓       ✓
72    GLC+57.021ALAQAESLR      0.5800      Database    -23.4828    1287.6605   ✓       ✓
73    GLC+57.021ALAQAESLR      0.5800      Database    -23.5163    1287.6605   ✓       ✓
74    GLC+57.021ALAQAESLR      0.5800      Database    -23.7384    1287.6605   ✓       ✓
75    GLC+57.021ALAQAESLR      0.5800      Database    -23.7637    1287.6605   ✓       ✓
76    GLC+57.021ALAQAESLR      0.5800      Database    -23.8054    1287.6605   ✓       ✓
77    GLC+57.021ALAQAESLR      0.5800      Database    -23.8597    1287.6605   ✓       ✓
78    GLC+57.021ALAQAESLR      0.5800      Database    -23.9181    1287.6605   ✓       ✓
79    GLC+57.021ALAQAESLR      0.5800      Database    -24.0983    1287.6605   ✓       ✓
80    GLC+57.021ALAQAESLR      0.5800      Database    -24.2343    1287.6605   ✓       ✓
81    GLC+57.021ALAQAESLR      0.5800      Database    -24.6177    1287.6605   ✓       ✓
82    GLC+57.021ALAQAESLR      0.5800      Database    -24.6350    1287.6605   ✓       ✓
83    GLC+57.021ALAQAESLR      0.5800      Database    -24.8496    1287.6605   ✓       ✓
84    GLC+57.021ALAQAESLR      0.5800      Database    -24.8756    1287.6605   ✓       ✓
85    GLC+57.021ALAQAESLR      0.5800      Database    -24.8911    1287.6605   ✓       ✓
86    GLC+57.021ALAQAESLR      0.5800      Database    -24.9167    1287.6605   ✓       ✓
87    GLC+57.021ALAQAESLR      0.5800      Database    -24.9427    1287.6605   ✓       ✓
88    GLC+57.021ALAQAESLR      0.5800      Database    -24.9576    1287.6605   ✓       ✓
89    GLC+57.021ALAQAESLR      0.5800      Database    -24.9582    1287.6605   ✓       ✓
90    GLC+57.021ALAQAESLR      0.5800      Database    -25.0368    1287.6605   ✓       ✓
91    GLC+57.021ALAQAESLR      0.5800      Database    -25.0937    1287.6605   ✓       ✓
92    GLC+57.021ALAQAESLR      0.5800      Database    -25.1039    1287.6605   ✓       ✓
93    GLC+57.021ALAQAESLR      0.5800      Database    -25.1373    1287.6605   ✓       ✓
94    GLC+57.021ALAQAESLR      0.5800      Database    -25.2297    1287.6605   ✓       ✓
95    GLC+57.021ALAQAESLR      0.5800      Database    -25.2733    1287.6605   ✓       ✓
96    GLC+57.021ALAQAESLR      0.5800      Database    -25.3594    1287.6605   ✓       ✓
97    GLC+57.021ALAQAESLR      0.5800      Database    -25.3847    1287.6605   ✓       ✓
98    GLC+57.021ALAQAESLR      0.5800      Database    -25.4265    1287.6605   ✓       ✓
99    GLC+57.021ALAQAESLR      0.5800      Database    -25.7594    1287.6605   ✓       ✓
100   GLC+57.021ALAQAESLR      0.5800      Database    -25.8554    1287.6605   ✓       ✓
101   GLC+57.021ALAQAESLR      0.5800      Database    -26.0688    1287.6605   ✓       ✓
102   GLC+57.021ALAQAESLR      0.5800      Database    -26.0949    1287.6605   ✓       ✓
103   GLC+57.021ALAQAESLR      0.5800      Database    -26.1103    1287.6605   ✓       ✓
104   GLC+57.021ALAQAESLR      0.5800      Database    -26.1242    1287.6605   ✓       ✓
105   GLC+57.021ALAQAESLR      0.5800      Database    -26.1913    1287.6605   ✓       ✓
106   GLC+57.021ALAQAESLR      0.5800      Database    -26.2560    1287.6605   ✓       ✓
107   GLC+57.021ALAQAESLR      0.5800      Database    -26.3276    1287.6605   ✓       ✓
108   GLC+57.021ALAQAESLR      0.5800      Database    -26.3818    1287.6605   ✓       ✓
109   GLC+57.021ALAQAESLR      0.5800      Database    -26.3920    1287.6605   ✓       ✓
110   GLC+57.021ALAQAESLR      0.5800      Database    -26.3947    1287.6605   ✓       ✓
111   GLC+57.021ALAQAESLR      0.5800      Database    -26.4269    1287.6605   ✓       ✓
112   GLC+57.021ALAQAESLR      0.5800      Database    -26.4489    1287.6605   ✓       ✓
113   GLC+57.021ALAQAESLR      0.5800      Database    -26.4621    1287.6605   ✓       ✓
114   GLC+57.021ALAQAESLR      0.5800      Database    -26.4706    1287.6605   ✓       ✓
115   GLC+57.021ALAQAESLR      0.5800      Database    -26.4727    1287.6605   ✓       ✓
116   GLC+57.021ALAQAESLR      0.5800      Database    -26.4967    1287.6605   ✓       ✓
117   GLC+57.021ALAQAESLR      0.5800      Database    -26.5121    1287.6605   ✓       ✓
118   GLC+57.021ALAQAESLR      0.5800      Database    -26.5292    1287.6605   ✓       ✓
119   GLC+57.021ALAQAESLR      0.5800      Database    -26.5377    1287.6605   ✓       ✓
120   GLC+57.021ALAQAESLR      0.5800      Database    -26.5637    1287.6605   ✓       ✓
121   GLC+57.021ALAQAESLR      0.5800      Database    -26.5786    1287.6605   ✓       ✓
122   GLC+57.021ALAQAESLR      0.5800      Database    -26.5792    1287.6605   ✓       ✓
123   GLC+57.021ALAQAESLR      0.5800      Database    -26.6543    1287.6605   ✓       ✓
124   GLC+57.021ALAQAESLR      0.5800      Database    -26.7146    1287.6605   ✓       ✓
125   GLC+57.021ALAQAESLR      0.5800      Database    -26.8507    1287.6605   ✓       ✓
126   GLC+57.021ALAQAESLR      0.5800      Database    -26.8943    1287.6605   ✓       ✓
127   GLC+57.021ALAQAESLR      0.5800      Database    -27.3434    1287.6605   ✓       ✓
128   GLC+57.021ALAQAESLR      0.5800      Database    -27.3804    1287.6605   ✓       ✓
129   GLC+57.021ALAQAESLR      0.5800      Database    -27.4514    1287.6605   ✓       ✓
130   GLC+57.021ALAQAESLR      0.5800      Database    -27.4659    1287.6605   ✓       ✓
131   GLC+57.021ALAQAESLR      0.5800      Database    -27.5185    1287.6605   ✓       ✓
132   GLC+57.021ALAQAESLR      0.5800      Database    -27.5468    1287.6605   ✓       ✓
133   GLC+57.021ALAQAESLR      0.5800      Database    -27.6814    1287.6605   ✓       ✓
134   GLC+57.021ALAQAESLR      0.5800      Database    -27.6899    1287.6605   ✓       ✓
135   GLC+57.021ALAQAESLR      0.5800      Database    -27.7452    1287.6605   ✓       ✓
136   GLC+57.021ALAQAESLR      0.5800      Database    -27.9486    1287.6605   ✓       ✓
137   GLC+57.021ALAQAESLR      0.5800      Database    -28.0028    1287.6605   ✓       ✓
138   GLC+57.021ALAQAESLR      0.5800      Database    -28.0479    1287.6605   ✓       ✓
139   GLC+57.021ALAQAESLR      0.5800      Database    -28.0832    1287.6605   ✓       ✓
140   GLC+57.021ALAQAESLR      0.5800      Database    -28.0937    1287.6605   ✓       ✓
141   GLC+57.021ALAQAESLR      0.5800      Database    -28.5846    1287.6605   ✓       ✓
142   GLC+57.021ALAQAESLR      0.5800      Database    -28.6415    1287.6605   ✓       ✓
143   GLC+57.021ALAQAESLR      0.5800      Database    -28.6599    1287.6605   ✓       ✓
144   GLC+57.021ALAQAESLR      0.5800      Database    -28.9072    1287.6605   ✓       ✓
145   GLC+57.021ALAQAESLR      0.5800      Database    -29.0724    1287.6605   ✓       ✓
146   GLC+57.021ALAQAESLR      0.5800      Database    -29.0869    1287.6605   ✓       ✓
147   GLC+57.021ALAQAESLR      0.5800      Database    -29.4813    1287.6605   ✓       ✓
148   GLC+57.021ALAQAESLR      0.5800      Database    -29.5734    1287.6605   ✓       ✓
149   GLC+57.021ALAQAESLR      0.5800      Database    -29.8120    1287.6605   ✓       ✓
150   GLC+57.021ALAQAESLR      0.5800      Database    -30.0184    1287.6605   ✓       ✓
151   GLC+57.021ALAQAESLR      0.5800      Database    -30.0445    1287.6605   ✓       ✓
152   GLC+57.021ALAQAESLR      0.5800      Database    -30.0599    1287.6605   ✓       ✓
153   GLC+57.021ALAQAESLR      0.5800      Database    -30.2056    1287.6605   ✓       ✓
154   GLC+57.021ALAQAESLR      0.5800      Database    -30.2625    1287.6605   ✓       ✓
155   GLC+57.021ALAQAESLR      0.5800      Database    -30.2809    1287.6605   ✓       ✓
156   GLC+57.021ALAQAESLR      0.5800      Database    -30.3985    1287.6605   ✓       ✓
157   GLC+57.021ALAQAESLR      0.5800      Database    -30.5282    1287.6605   ✓       ✓
158   GLC+57.021ALAQAESLR      0.5800      Database    -30.8176    1287.6605   ✓       ✓
159   GLC+57.021ALAQAESLR      0.5800      Database    -30.8510    1287.6605   ✓       ✓
160   GLC+57.021ALAQAESLR      0.5800      Database    -31.0985    1287.6605   ✓       ✓
161   GLC+57.021ALAQAESLR      0.5800      Database    -31.1402    1287.6605   ✓       ✓
162   GLC+57.021ALAQAESLR      0.5800      Database    -31.1944    1287.6605   ✓       ✓
163   GLC+57.021ALAQAESLR      0.5800      Database    -31.2930    1287.6605   ✓       ✓
164   GLC+57.021ALAQAESLR      0.5800      Database    -31.4330    1287.6605   ✓       ✓
165   GLC+57.021ALAQAESLR      0.5800      Database    -31.4964    1287.6605   ✓       ✓
166   GLC+57.021ALAQAESLR      0.5800      Database    -31.5507    1287.6605   ✓       ✓
167   GLC+57.021ALAQAESLR      0.5800      Database    -31.5691    1287.6605   ✓       ✓
168   GLC+57.021ALAQAESLR      0.5800      Database    -31.6310    1287.6605   ✓       ✓
169   GLC+57.021ALAQAESLR      0.5800      Database    -31.6395    1287.6605   ✓       ✓
170   GLC+57.021ALAQAESLR      0.5800      Database    -31.6655    1287.6605   ✓       ✓
171   GLC+57.021ALAQAESLR      0.5800      Database    -31.6809    1287.6605   ✓       ✓
172   GLC+57.021ALAQAESLR      0.5800      Database    -31.9697    1287.6605   ✓       ✓
173   GLC+57.021ALAQAESLR      0.5800      Database    -32.0195    1287.6605   ✓       ✓
174   GLC+57.021ALAQAESLR      0.5800      Database    -32.2514    1287.6605   ✓       ✓
175   GLC+57.021ALAQAESLR      0.5800      Database    -32.2775    1287.6605   ✓       ✓
176   GLC+57.021ALAQAESLR      0.5800      Database    -32.2923    1287.6605   ✓       ✓
177   GLC+57.021ALAQAESLR      0.5800      Database    -33.8746    1287.6605   ✓       ✓
178   GLC+57.021ALAQAESLR      0.5800      Database    -35.0267    1287.6605   ✓       ✓
179   GLC+57.021ALAQAESLR      0.5800      Database    -35.4956    1287.6605   ✓       ✓
180   ALC+57.021AVAQAESLR      0.5791      Prosit      -32.6471    1287.6605   ✓       
181   +42.011KC+57.021ALAQAESLR0.5585      Prosit      -32.7139    1287.6605   ✓       
182   +42.011KC+57.021ALAQAESLR0.5585      Prosit      -34.3349    1287.6605   ✓       
183   ALC+57.021GLAQAESLR      0.5574      Prosit      -29.8751    1287.6605   ✓       
184   ALC+57.021GLAQAESLR      0.5574      Prosit      -31.4961    1287.6605   ✓       
185   +42.011QC+57.021ALAQAESLR0.5520      Prosit      -33.7124    1287.6241   ✓       
186   +42.011QC+57.021ALAQAESLR0.5520      Prosit      -35.3334    1287.6241   ✓       
187   ALC+57.021ALANAESLR      0.5437      Prosit      -32.9880    1287.6605   ✓       
188   ALC+57.021ALANAESLR      0.5437      Prosit      -34.6090    1287.6605   ✓       
189   ALC+57.021ALAQGESLR      0.5427      Prosit      -31.0777    1287.6605   ✓       
190   ALC+57.021ALAQGESLR      0.5427      Prosit      -32.6987    1287.6605   ✓       
191   SLC+57.021ALAQAVSLR      0.5325      Prosit      -36.1171    1287.6969   ✓       
192   GLC+57.021ALAQAQ+0.984SLR0.5041      Prosit      -8.5033     1287.6605   ✓       
193   GLC+57.021ALAQAQ+0.984SLR0.5041      Prosit      -10.1243    1287.6605   ✓       
194   GLC+57.021ALAQAQ+0.984SLR0.5041      Prosit      -15.8381    1287.6605   ✓       
195   GLC+57.021ALAQAQ+0.984SLR0.5041      Prosit      -15.9051    1287.6605   ✓       
196   GLC+57.021ALAQAQ+0.984SLR0.5041      Prosit      -17.0573    1287.6605   ✓       
197   GLC+57.021ALAQAQ+0.984SLR0.5041      Prosit      -17.4591    1287.6605   ✓       
198   GLC+57.021ALAQAQ+0.984SLR0.5041      Prosit      -17.5261    1287.6605   ✓       
199   GLC+57.021ALAQAQ+0.984SLR0.5041      Prosit      -18.6783    1287.6605   ✓       
200   GLC+57.021ALAQAQ+0.984SLR0.5041      Prosit      -18.8143    1287.6605   ✓       
201   GLC+57.021ALAQAQ+0.984SLR0.5041      Prosit      -20.4353    1287.6605   ✓       
202   GLC+57.021ALAQAQ+0.984SLR0.5041      Prosit      -21.0069    1287.6605   ✓       
203   GLC+57.021ALAQAQ+0.984SLR0.5041      Prosit      -22.2445    1287.6605   ✓       
204   GLC+57.021ALAQAQ+0.984SLR0.5041      Prosit      -22.6279    1287.6605   ✓       
