================================================================================
Spectrum 246
================================================================================

Spectrum Information:
--------------------------------------------------------------------------------
Precursor m/z: 616.3303
Precursor charge: 2+
Ground truth: GIIIYGPPGC+57.021GK
Ground truth (normalized): GIIIYGPPGC+57.021GK

Beam Search Results:
--------------------------------------------------------------------------------
Total candidates: 1000
Passed mass check: 297
Used for reranking: 297

Candidate Statistics:
--------------------------------------------------------------------------------
Total candidates: 1000
Passed mass check: 297 (29.7%)
Database matches: 266 (26.6%)
Prosit predictions: 27 (2.7%)
Failed: 4 (0.4%)

Ground Truth Analysis:
--------------------------------------------------------------------------------
Ground truth found: ✓
Rank in beam search: 1/1000
Rank by similarity: 1/1000
Similarity: 0.7807
Source: Database
Passed mass check: ✓

All 1000 Candidates (sorted by similarity):
------------------------------------------------------------------------------------------------------------------------
Rank  Peptide                  Similarity  Source      BeamScore   Mass        Pass    Correct
------------------------------------------------------------------------------------------------------------------------
1     GLLLYGPPGC+57.021GK      0.7807      Database    -0.1676     1230.6431   ✓       ✓
2     GLLLYGPPGC+57.021GK      0.7807      Database    -2.4079     1230.6431   ✓       ✓
3     GLLLYGPPGC+57.021GK      0.7807      Database    -2.8650     1230.6431   ✓       ✓
4     GLLLYGPPGC+57.021GK      0.7807      Database    -5.1053     1230.6431   ✓       ✓
5     GLLLYGPPGC+57.021GK      0.7807      Database    -7.0467     1230.6431   ✓       ✓
6     GLLLYGPPGC+57.021GK      0.7807      Database    -8.8944     1230.6431   ✓       ✓
7     GLLLYGPPGC+57.021GK      0.7807      Database    -9.2870     1230.6431   ✓       ✓
8     GLLLYGPPGC+57.021GK      0.7807      Database    -9.7441     1230.6431   ✓       ✓
9     GLLLYGPPGC+57.021GK      0.7807      Database    -10.6022    1230.6431   ✓       ✓
10    GLLLYGPPGC+57.021GK      0.7807      Database    -10.9213    1230.6431   ✓       ✓
11    GLLLYGPPGC+57.021GK      0.7807      Database    -11.1347    1230.6431   ✓       ✓
12    GLLLYGPPGC+57.021GK      0.7807      Database    -11.4328    1230.6431   ✓       ✓
13    GLLLYGPPGC+57.021GK      0.7807      Database    -11.4372    1230.6431   ✓       ✓
14    GLLLYGPPGC+57.021GK      0.7807      Database    -11.5918    1230.6431   ✓       ✓
15    GLLLYGPPGC+57.021GK      0.7807      Database    -11.9844    1230.6431   ✓       ✓
16    GLLLYGPPGC+57.021GK      0.7807      Database    -12.0744    1230.6431   ✓       ✓
17    GLLLYGPPGC+57.021GK      0.7807      Database    -12.8425    1230.6431   ✓       ✓
18    GLLLYGPPGC+57.021GK      0.7807      Database    -13.1616    1230.6431   ✓       ✓
19    GLLLYGPPGC+57.021GK      0.7807      Database    -13.2108    1230.6431   ✓       ✓
20    GLLLYGPPGC+57.021GK      0.7807      Database    -13.2996    1230.6431   ✓       ✓
21    GLLLYGPPGC+57.021GK      0.7807      Database    -13.6187    1230.6431   ✓       ✓
22    GLLLYGPPGC+57.021GK      0.7807      Database    -13.6731    1230.6431   ✓       ✓
23    GLLLYGPPGC+57.021GK      0.7807      Database    -13.6775    1230.6431   ✓       ✓
24    GLLLYGPPGC+57.021GK      0.7807      Database    -13.8321    1230.6431   ✓       ✓
25    GLLLYGPPGC+57.021GK      0.7807      Database    -13.9158    1230.6431   ✓       ✓
26    GLLLYGPPGC+57.021GK      0.7807      Database    -14.1302    1230.6431   ✓       ✓
27    GLLLYGPPGC+57.021GK      0.7807      Database    -14.1346    1230.6431   ✓       ✓
28    GLLLYGPPGC+57.021GK      0.7807      Database    -14.3147    1230.6431   ✓       ✓
29    GLLLYGPPGC+57.021GK      0.7807      Database    -14.7717    1230.6431   ✓       ✓
30    GLLLYGPPGC+57.021GK      0.7807      Database    -15.4511    1230.6431   ✓       ✓
31    GLLLYGPPGC+57.021GK      0.7807      Database    -15.5399    1230.6431   ✓       ✓
32    GLLLYGPPGC+57.021GK      0.7807      Database    -15.7735    1230.6431   ✓       ✓
33    GLLLYGPPGC+57.021GK      0.7807      Database    -15.8441    1230.6431   ✓       ✓
34    GLLLYGPPGC+57.021GK      0.7807      Database    -15.8590    1230.6431   ✓       ✓
35    GLLLYGPPGC+57.021GK      0.7807      Database    -15.9082    1230.6431   ✓       ✓
36    GLLLYGPPGC+57.021GK      0.7807      Database    -16.1562    1230.6431   ✓       ✓
37    GLLLYGPPGC+57.021GK      0.7807      Database    -16.2502    1230.6431   ✓       ✓
38    GLLLYGPPGC+57.021GK      0.7807      Database    -16.3705    1230.6431   ✓       ✓
39    GLLLYGPPGC+57.021GK      0.7807      Database    -16.3749    1230.6431   ✓       ✓
40    GLLLYGPPGC+57.021GK      0.7807      Database    -16.5143    1230.6431   ✓       ✓
41    GLLLYGPPGC+57.021GK      0.7807      Database    -16.6132    1230.6431   ✓       ✓
42    GLLLYGPPGC+57.021GK      0.7807      Database    -17.0121    1230.6431   ✓       ✓
43    GLLLYGPPGC+57.021GK      0.7807      Database    -17.4813    1230.6431   ✓       ✓
44    GLLLYGPPGC+57.021GK      0.7807      Database    -17.5406    1230.6431   ✓       ✓
45    GLLLYGPPGC+57.021GK      0.7807      Database    -17.8004    1230.6431   ✓       ✓
46    GLLLYGPPGC+57.021GK      0.7807      Database    -18.0138    1230.6431   ✓       ✓
47    GLLLYGPPGC+57.021GK      0.7807      Database    -18.0844    1230.6431   ✓       ✓
48    GLLLYGPPGC+57.021GK      0.7807      Database    -18.1485    1230.6431   ✓       ✓
49    GLLLYGPPGC+57.021GK      0.7807      Database    -18.1639    1230.6431   ✓       ✓
50    GLLLYGPPGC+57.021GK      0.7807      Database    -18.3119    1230.6431   ✓       ✓
51    GLLLYGPPGC+57.021GK      0.7807      Database    -18.3163    1230.6431   ✓       ✓
52    GLLLYGPPGC+57.021GK      0.7807      Database    -18.3823    1230.6431   ✓       ✓
53    GLLLYGPPGC+57.021GK      0.7807      Database    -18.4709    1230.6431   ✓       ✓
54    GLLLYGPPGC+57.021GK      0.7807      Database    -18.4906    1230.6431   ✓       ✓
55    GLLLYGPPGC+57.021GK      0.7807      Database    -18.5415    1230.6431   ✓       ✓
56    GLLLYGPPGC+57.021GK      0.7807      Database    -18.7546    1230.6431   ✓       ✓
57    GLLLYGPPGC+57.021GK      0.7807      Database    -18.8536    1230.6431   ✓       ✓
58    GLLLYGPPGC+57.021GK      0.7807      Database    -18.9535    1230.6431   ✓       ✓
59    GLLLYGPPGC+57.021GK      0.7807      Database    -19.2117    1230.6431   ✓       ✓
60    GLLLYGPPGC+57.021GK      0.7807      Database    -19.3290    1230.6431   ✓       ✓
61    GLLLYGPPGC+57.021GK      0.7807      Database    -19.6481    1230.6431   ✓       ✓
62    GLLLYGPPGC+57.021GK      0.7807      Database    -19.7216    1230.6431   ✓       ✓
63    GLLLYGPPGC+57.021GK      0.7807      Database    -20.0407    1230.6431   ✓       ✓
64    GLLLYGPPGC+57.021GK      0.7807      Database    -20.0899    1230.6431   ✓       ✓
65    GLLLYGPPGC+57.021GK      0.7807      Database    -20.0921    1230.6431   ✓       ✓
66    GLLLYGPPGC+57.021GK      0.7807      Database    -20.1595    1230.6431   ✓       ✓
67    GLLLYGPPGC+57.021GK      0.7807      Database    -20.1640    1230.6431   ✓       ✓
68    GLLLYGPPGC+57.021GK      0.7807      Database    -20.1787    1230.6431   ✓       ✓
69    GLLLYGPPGC+57.021GK      0.7807      Database    -20.2380    1230.6431   ✓       ✓
70    GLLLYGPPGC+57.021GK      0.7807      Database    -20.2608    1230.6431   ✓       ✓
71    GLLLYGPPGC+57.021GK      0.7807      Database    -20.4043    1230.6431   ✓       ✓
72    GLLLYGPPGC+57.021GK      0.7807      Database    -20.4978    1230.6431   ✓       ✓
73    GLLLYGPPGC+57.021GK      0.7807      Database    -20.5522    1230.6431   ✓       ✓
74    GLLLYGPPGC+57.021GK      0.7807      Database    -20.5566    1230.6431   ✓       ✓
75    GLLLYGPPGC+57.021GK      0.7807      Database    -20.6226    1230.6431   ✓       ✓
76    GLLLYGPPGC+57.021GK      0.7807      Database    -20.7112    1230.6431   ✓       ✓
77    GLLLYGPPGC+57.021GK      0.7807      Database    -20.7818    1230.6431   ✓       ✓
