================================================================================
Spectrum 247
================================================================================

Spectrum Information:
--------------------------------------------------------------------------------
Precursor m/z: 783.8932
Precursor charge: 2+
Ground truth: ITPSYVAFTPEGER
Ground truth (normalized): ITPSYVAFTPEGER

Beam Search Results:
--------------------------------------------------------------------------------
Total candidates: 1000
Passed mass check: 252
Used for reranking: 252

Candidate Statistics:
--------------------------------------------------------------------------------
Total candidates: 1000
Passed mass check: 252 (25.2%)
Database matches: 120 (12.0%)
Prosit predictions: 131 (13.1%)
Failed: 1 (0.1%)

Ground Truth Analysis:
--------------------------------------------------------------------------------
Ground truth found: ✓
Rank in beam search: 1/1000
Rank by similarity: 1/1000
Similarity: 0.7146
Source: Database
Passed mass check: ✓

All 1000 Candidates (sorted by similarity):
------------------------------------------------------------------------------------------------------------------------
Rank  Peptide                  Similarity  Source      BeamScore   Mass        Pass    Correct
------------------------------------------------------------------------------------------------------------------------
1     LTPSYVAFTPEGER           0.7146      Database    -0.0655     1565.7726   ✓       ✓
2     LTPSYVAFTPEGER           0.7146      Database    -5.3424     1565.7726   ✓       ✓
3     LTPSYVAFTPEGER           0.7146      Database    -6.2595     1565.7726   ✓       ✓
4     LTPSYVAFTPEGER           0.7146      Database    -9.0849     1565.7726   ✓       ✓
5     LTPSYVAFTPEGER           0.7146      Database    -9.3211     1565.7726   ✓       ✓
6     LTPSYVAFTPEGER           0.7146      Database    -9.5180     1565.7726   ✓       ✓
7     LTPSYVAFTPEGER           0.7146      Database    -9.7073     1565.7726   ✓       ✓
8     LTPSYVAFTPEGER           0.7146      Database    -9.7521     1565.7726   ✓       ✓
9     LTPSYVAFTPEGER           0.7146      Database    -10.7290    1565.7726   ✓       ✓
10    LTPSYVAFTPEGER           0.7146      Database    -11.5364    1565.7726   ✓       ✓
11    LTPSYVAFTPEGER           0.7146      Database    -11.5559    1565.7726   ✓       ✓
12    LTPSYVAFTPEGER           0.7146      Database    -11.8682    1565.7726   ✓       ✓
13    LTPSYVAFTPEGER           0.7146      Database    -12.1014    1565.7726   ✓       ✓
14    LTPSYVAFTPEGER           0.7146      Database    -12.9387    1565.7726   ✓       ✓
15    LTPSYVAFTPEGER           0.7146      Database    -13.7059    1565.7726   ✓       ✓
16    LTPSYVAFTPEGER           0.7146      Database    -13.9423    1565.7726   ✓       ✓
17    LTPSYVAFTPEGER           0.7146      Database    -13.9676    1565.7726   ✓       ✓
18    LTPSYVAFTPEGER           0.7146      Database    -14.3618    1565.7726   ✓       ✓
19    LTPSYVAFTPEGER           0.7146      Database    -14.4895    1565.7726   ✓       ✓
20    LTPSYVAFTPEGER           0.7146      Database    -14.5980    1565.7726   ✓       ✓
21    LTPSYVAFTPEGER           0.7146      Database    -14.7949    1565.7726   ✓       ✓
22    LTPSYVAFTPEGER           0.7146      Database    -14.9842    1565.7726   ✓       ✓
23    LTPSYVAFTPEGER           0.7146      Database    -15.0290    1565.7726   ✓       ✓
24    LTPSYVAFTPEGER           0.7146      Database    -15.2789    1565.7726   ✓       ✓
25    LTPSYVAFTPEGER           0.7146      Database    -15.3126    1565.7726   ✓       ✓
26    LTPSYVAFTPEGER           0.7146      Database    -15.5151    1565.7726   ✓       ✓
27    LTPSYVAFTPEGER           0.7146      Database    -15.7120    1565.7726   ✓       ✓
28    LTPSYVAFTPEGER           0.7146      Database    -15.8911    1565.7726   ✓       ✓
29    LTPSYVAFTPEGER           0.7146      Database    -15.9013    1565.7726   ✓       ✓
30    LTPSYVAFTPEGER           0.7146      Database    -16.0059    1565.7726   ✓       ✓
31    LTPSYVAFTPEGER           0.7146      Database    -16.8328    1565.7726   ✓       ✓
32    LTPSYVAFTPEGER           0.7146      Database    -16.9230    1565.7726   ✓       ✓
33    LTPSYVAFTPEGER           0.7146      Database    -17.1450    1565.7726   ✓       ✓
34    LTPSYVAFTPEGER           0.7146      Database    -17.2577    1565.7726   ✓       ✓
35    LTPSYVAFTPEGER           0.7146      Database    -17.3648    1565.7726   ✓       ✓
36    LTPSYVAFTPEGER           0.7146      Database    -17.3783    1565.7726   ✓       ✓
37    LTPSYVAFTPEGER           0.7146      Database    -17.4205    1565.7726   ✓       ✓
38    LTPSYVAFTPEGER           0.7146      Database    -17.5331    1565.7726   ✓       ✓
39    LTPSYVAFTPEGER           0.7146      Database    -17.7499    1565.7726   ✓       ✓
40    LTPSYVAFTPEGER           0.7146      Database    -18.0622    1565.7726   ✓       ✓
41    LTPSYVAFTPEGER           0.7146      Database    -18.2155    1565.7726   ✓       ✓
42    LTPSYVAFTPEGER           0.7146      Database    -18.2954    1565.7726   ✓       ✓
43    LTPSYVAFTPEGER           0.7146      Database    -18.3405    1565.7726   ✓       ✓
44    LTPSYVAFTPEGER           0.7146      Database    -18.5374    1565.7726   ✓       ✓
45    LTPSYVAFTPEGER           0.7146      Database    -18.7267    1565.7726   ✓       ✓
46    LTPSYVAFTPEGER           0.7146      Database    -18.7715    1565.7726   ✓       ✓
47    LTPSYVAFTPEGER           0.7146      Database    -18.7736    1565.7726   ✓       ✓
48    LTPSYVAFTPEGER           0.7146      Database    -18.9629    1565.7726   ✓       ✓
49    LTPSYVAFTPEGER           0.7146      Database    -18.9828    1565.7726   ✓       ✓
50    LTPSYVAFTPEGER           0.7146      Database    -19.0077    1565.7726   ✓       ✓
51    LTPSYVAFTPEGER           0.7146      Database    -19.1327    1565.7726   ✓       ✓
52    LTPSYVAFTPEGER           0.7146      Database    -19.1598    1565.7726   ✓       ✓
53    LTPSYVAFTPEGER           0.7146      Database    -19.2046    1565.7726   ✓       ✓
54    LTPSYVAFTPEGER           0.7146      Database    -19.2192    1565.7726   ✓       ✓
55    LTPSYVAFTPEGER           0.7146      Database    -19.2444    1565.7726   ✓       ✓
56    LTPSYVAFTPEGER           0.7146      Database    -19.3939    1565.7726   ✓       ✓
57    LTPSYVAFTPEGER           0.7146      Database    -19.7484    1565.7726   ✓       ✓
58    LTPSYVAFTPEGER           0.7146      Database    -19.8999    1565.7726   ✓       ✓
59    LTPSYVAFTPEGER           0.7146      Database    -19.9846    1565.7726   ✓       ✓
60    LTPSYVAFTPEGER           0.7146      Database    -20.1363    1565.7726   ✓       ✓
61    LTPSYVAFTPEGER           0.7146      Database    -20.1616    1565.7726   ✓       ✓
62    LTPSYVAFTPEGER           0.7146      Database    -20.1815    1565.7726   ✓       ✓
63    LTPSYVAFTPEGER           0.7146      Database    -20.3708    1565.7726   ✓       ✓
64    LTPSYVAFTPEGER           0.7146      Database    -20.4156    1565.7726   ✓       ✓
65    LTPSYVAFTPEGER           0.7146      Database    -20.5558    1565.7726   ✓       ✓
66    LTPSYVAFTPEGER           0.7146      Database    -20.5754    1565.7726   ✓       ✓
67    LTPSYVAFTPEGER           0.7146      Database    -20.5895    1565.7726   ✓       ✓
68    LTPSYVAFTPEGER           0.7146      Database    -20.6461    1565.7726   ✓       ✓
69    LTPSYVAFTPEGER           0.7146      Database    -20.6835    1565.7726   ✓       ✓
70    LTPSYVAFTPEGER           0.7146      Database    -20.7920    1565.7726   ✓       ✓
71    LTPSYVAFTPEGER           0.7146      Database    -20.8115    1565.7726   ✓       ✓
72    LTPSYVAFTPEGER           0.7146      Database    -20.8876    1565.7726   ✓       ✓
73    LTPSYVAFTPEGER           0.7146      Database    -20.9077    1565.7726   ✓       ✓
74    LTPSYVAFTPEGER           0.7146      Database    -20.9889    1565.7726   ✓       ✓
75    LTPSYVAFTPEGER           0.7146      Database    -21.0084    1565.7726   ✓       ✓
76    LTPSYVAFTPEGER           0.7146      Database    -21.1208    1565.7726   ✓       ✓
77    LTPSYVAFTPEGER           0.7146      Database    -21.1238    1565.7726   ✓       ✓
78    LTPSYVAFTPEGER           0.7146      Database    -21.1680    1565.7726   ✓       ✓
79    LTPSYVAFTPEGER           0.7146      Database    -21.1782    1565.7726   ✓       ✓
80    LTPSYVAFTPEGER           0.7146      Database    -21.1977    1565.7726   ✓       ✓
81    LTPSYVAFTPEGER           0.7146      Database    -21.2425    1565.7726   ✓       ✓
82    LTPSYVAFTPEGER           0.7146      Database    -21.3207    1565.7726   ✓       ✓
83    LTPSYVAFTPEGER           0.7146      Database    -21.3570    1565.7726   ✓       ✓
84    LTPSYVAFTPEGER           0.7146      Database    -21.5066    1565.7726   ✓       ✓
85    LTPSYVAFTPEGER           0.7146      Database    -21.5100    1565.7726   ✓       ✓
86    LTPSYVAFTPEGER           0.7146      Database    -21.5539    1565.7726   ✓       ✓
87    LTPSYVAFTPEGER           0.7146      Database    -21.5548    1565.7726   ✓       ✓
88    LTPSYVAFTPEGER           0.7146      Database    -21.7432    1565.7726   ✓       ✓
89    LTPSYVAFTPEGER           0.7146      Database    -21.7880    1565.7726   ✓       ✓
90    LTPSYVAFTPEGER           0.7146      Database    -21.9581    1565.7726   ✓       ✓
91    LTPSYVAFTPEGER           0.7146      Database    -21.9960    1565.7726   ✓       ✓
92    LTPSYVAFTPEGER           0.7146      Database    -22.0851    1565.7726   ✓       ✓
93    LTPSYVAFTPEGER           0.7146      Database    -22.1943    1565.7726   ✓       ✓
94    LTPSYVAFTPEGER           0.7146      Database    -22.1999    1565.7726   ✓       ✓
95    LTPSYVAFTPEGER           0.7146      Database    -22.2194    1565.7726   ✓       ✓
96    LTPSYVAFTPEGER           0.7146      Database    -22.3911    1565.7726   ✓       ✓
97    LTPSYVAFTPEGER           0.7146      Database    -22.5317    1565.7726   ✓       ✓
98    LTPSYVAFTPEGER           0.7146      Database    -22.5346    1565.7726   ✓       ✓
99    LTPSYVAFTPEGER           0.7146      Database    -22.5805    1565.7726   ✓       ✓
100   LTPSYVAFTPEGER           0.7146      Database    -22.6252    1565.7726   ✓       ✓
