================================================================================
Spectrum 266
================================================================================

Spectrum Information:
--------------------------------------------------------------------------------
Precursor m/z: 441.9183
Precursor charge: 3+
Ground truth: YVRPFINSISK
Ground truth (normalized): YVRPFINSISK

Beam Search Results:
--------------------------------------------------------------------------------
Total candidates: 1000
Passed mass check: 510
Used for reranking: 510

Candidate Statistics:
--------------------------------------------------------------------------------
Total candidates: 1000
Passed mass check: 510 (51.0%)
Database matches: 498 (49.8%)
Prosit predictions: 12 (1.2%)
Failed: 0 (0.0%)

Ground Truth Analysis:
--------------------------------------------------------------------------------
Ground truth found: ✓
Rank in beam search: 1/1000
Rank by similarity: 1/1000
Similarity: 0.6806
Source: Database
Passed mass check: ✓

All 1000 Candidates (sorted by similarity):
------------------------------------------------------------------------------------------------------------------------
Rank  Peptide                  Similarity  Source      BeamScore   Mass        Pass    Correct
------------------------------------------------------------------------------------------------------------------------
1     YVRPFLNSLSK              0.6806      Database    -0.3024     1322.7347   ✓       ✓
2     YVRPFLNSLSK              0.6806      Database    -2.2859     1322.7347   ✓       ✓
3     YVRPFLNSLSK              0.6806      Database    -2.3938     1322.7347   ✓       ✓
4     YVRPFLNSLSK              0.6806      Database    -3.4357     1322.7347   ✓       ✓
5     YVRPFLNSLSK              0.6806      Database    -4.3774     1322.7347   ✓       ✓
6     YVRPFLNSLSK              0.6806      Database    -4.8677     1322.7347   ✓       ✓
7     YVRPFLNSLSK              0.6806      Database    -5.4193     1322.7347   ✓       ✓
8     YVRPFLNSLSK              0.6806      Database    -6.1675     1322.7347   ✓       ✓
9     YVRPFLNSLSK              0.6806      Database    -6.7299     1322.7347   ✓       ✓
10    YVRPFLNSLSK              0.6806      Database    -6.8513     1322.7347   ✓       ✓
11    YVRPFLNSLSK              0.6806      Database    -6.9348     1322.7347   ✓       ✓
12    YVRPFLNSLSK              0.6806      Database    -6.9592     1322.7347   ✓       ✓
13    YVRPFLNSLSK              0.6806      Database    -7.0468     1322.7347   ✓       ✓
14    YVRPFLNSLSK              0.6806      Database    -8.0010     1322.7347   ✓       ✓
15    YVRPFLNSLSK              0.6806      Database    -8.1511     1322.7347   ✓       ✓
16    YVRPFLNSLSK              0.6806      Database    -8.2590     1322.7347   ✓       ✓
17    YVRPFLNSLSK              0.6806      Database    -8.7135     1322.7347   ✓       ✓
18    YVRPFLNSLSK              0.6806      Database    -8.8213     1322.7347   ✓       ✓
19    YVRPFLNSLSK              0.6806      Database    -8.9184     1322.7347   ✓       ✓
20    YVRPFLNSLSK              0.6806      Database    -8.9427     1322.7347   ✓       ✓
21    YVRPFLNSLSK              0.6806      Database    -9.0262     1322.7347   ✓       ✓
22    YVRPFLNSLSK              0.6806      Database    -9.0304     1322.7347   ✓       ✓
23    YVRPFLNSLSK              0.6806      Database    -9.1382     1322.7347   ✓       ✓
