================================================================================
Spectrum 6
================================================================================

Spectrum Information:
--------------------------------------------------------------------------------
Precursor m/z: 888.9600
Precursor charge: 2+
Ground truth: KFGEEVWKPTIEGEK
Ground truth (normalized): KFGEEVWKPTIEGEK

Beam Search Results:
--------------------------------------------------------------------------------
Total candidates: 1000
Passed mass check: 388
Used for reranking: 388

Candidate Statistics:
--------------------------------------------------------------------------------
Total candidates: 1000
Passed mass check: 388 (38.8%)
Database matches: 174 (17.4%)
Prosit predictions: 214 (21.4%)
Failed: 0 (0.0%)

Ground Truth Analysis:
--------------------------------------------------------------------------------
Ground truth found: ✓
Rank in beam search: 1/1000
Rank by similarity: 1/1000
Similarity: 0.9291
Source: Database
Passed mass check: ✓

All 1000 Candidates (sorted by similarity):
------------------------------------------------------------------------------------------------------------------------
Rank  Peptide                  Similarity  Source      BeamScore   Mass        Pass    Correct
------------------------------------------------------------------------------------------------------------------------
1     KFGEEVWKPTLEGEK          0.9291      Database    -0.0990     1775.9094   ✓       ✓
2     KFGEEVWKPTLEGEK          0.9291      Database    -3.2011     1775.9094   ✓       ✓
3     KFGEEVWKPTLEGEK          0.9291      Database    -3.2726     1775.9094   ✓       ✓
4     KFGEEVWKPTLEGEK          0.9291      Database    -5.3696     1775.9094   ✓       ✓
5     KFGEEVWKPTLEGEK          0.9291      Database    -6.2177     1775.9094   ✓       ✓
6     KFGEEVWKPTLEGEK          0.9291      Database    -6.3747     1775.9094   ✓       ✓
7     KFGEEVWKPTLEGEK          0.9291      Database    -8.2228     1775.9094   ✓       ✓
8     KFGEEVWKPTLEGEK          0.9291      Database    -8.3104     1775.9094   ✓       ✓
9     KFGEEVWKPTLEGEK          0.9291      Database    -8.4716     1775.9094   ✓       ✓
10    KFGEEVWKPTLEGEK          0.9291      Database    -8.5432     1775.9094   ✓       ✓
11    KFGEEVWKPTLEGEK          0.9291      Database    -9.3197     1775.9094   ✓       ✓
12    KFGEEVWKPTLEGEK          0.9291      Database    -9.3913     1775.9094   ✓       ✓
13    KFGEEVWKPTLEGEK          0.9291      Database    -9.8093     1775.9094   ✓       ✓
14    KFGEEVWKPTLEGEK          0.9291      Database    -10.0468    1775.9094   ✓       ✓
15    KFGEEVWKPTLEGEK          0.9291      Database    -10.5770    1775.9094   ✓       ✓
16    KFGEEVWKPTLEGEK          0.9291      Database    -11.2069    1775.9094   ✓       ✓
17    KFGEEVWKPTLEGEK          0.9291      Database    -11.3248    1775.9094   ✓       ✓
18    KFGEEVWKPTLEGEK          0.9291      Database    -11.3964    1775.9094   ✓       ✓
19    KFGEEVWKPTLEGEK          0.9291      Database    -11.4124    1775.9094   ✓       ✓
20    KFGEEVWKPTLEGEK          0.9291      Database    -11.4840    1775.9094   ✓       ✓
21    KFGEEVWKPTLEGEK          0.9291      Database    -11.4882    1775.9094   ✓       ✓
22    KFGEEVWKPTLEGEK          0.9291      Database    -11.6452    1775.9094   ✓       ✓
23    KFGEEVWKPTLEGEK          0.9291      Database    -11.9129    1775.9094   ✓       ✓
24    KFGEEVWKPTLEGEK          0.9291      Database    -12.2538    1775.9094   ✓       ✓
25    KFGEEVWKPTLEGEK          0.9291      Database    -12.4905    1775.9094   ✓       ✓
26    KFGEEVWKPTLEGEK          0.9291      Database    -12.4933    1775.9094   ✓       ✓
27    KFGEEVWKPTLEGEK          0.9291      Database    -12.9113    1775.9094   ✓       ✓
28    KFGEEVWKPTLEGEK          0.9291      Database    -12.9829    1775.9094   ✓       ✓
29    KFGEEVWKPTLEGEK          0.9291      Database    -13.1488    1775.9094   ✓       ✓
30    KFGEEVWKPTLEGEK          0.9291      Database    -13.2204    1775.9094   ✓       ✓
31    KFGEEVWKPTLEGEK          0.9291      Database    -13.2365    1775.9094   ✓       ✓
32    KFGEEVWKPTLEGEK          0.9291      Database    -13.3600    1775.9094   ✓       ✓
33    KFGEEVWKPTLEGEK          0.9291      Database    -13.4933    1775.9094   ✓       ✓
34    KFGEEVWKPTLEGEK          0.9291      Database    -13.5810    1775.9094   ✓       ✓
35    KFGEEVWKPTLEGEK          0.9291      Database    -13.6599    1775.9094   ✓       ✓
36    KFGEEVWKPTLEGEK          0.9291      Database    -13.6790    1775.9094   ✓       ✓
37    KFGEEVWKPTLEGEK          0.9291      Database    -13.6951    1775.9094   ✓       ✓
38    KFGEEVWKPTLEGEK          0.9291      Database    -14.0946    1775.9094   ✓       ✓
39    KFGEEVWKPTLEGEK          0.9291      Database    -14.3089    1775.9094   ✓       ✓
40    KFGEEVWKPTLEGEK          0.9291      Database    -14.3414    1775.9094   ✓       ✓
41    KFGEEVWKPTLEGEK          0.9291      Database    -14.3616    1775.9094   ✓       ✓
42    KFGEEVWKPTLEGEK          0.9291      Database    -14.3805    1775.9094   ✓       ✓
43    KFGEEVWKPTLEGEK          0.9291      Database    -14.4290    1775.9094   ✓       ✓
44    KFGEEVWKPTLEGEK          0.9291      Database    -14.4984    1775.9094   ✓       ✓
45    KFGEEVWKPTLEGEK          0.9291      Database    -14.5503    1775.9094   ✓       ✓
46    KFGEEVWKPTLEGEK          0.9291      Database    -14.5860    1775.9094   ✓       ✓
47    KFGEEVWKPTLEGEK          0.9291      Database    -14.5903    1775.9094   ✓       ✓
48    KFGEEVWKPTLEGEK          0.9291      Database    -14.6619    1775.9094   ✓       ✓
49    KFGEEVWKPTLEGEK          0.9291      Database    -15.0149    1775.9094   ✓       ✓
50    KFGEEVWKPTLEGEK          0.9291      Database    -15.0798    1775.9094   ✓       ✓
51    KFGEEVWKPTLEGEK          0.9291      Database    -15.0865    1775.9094   ✓       ✓
52    KFGEEVWKPTLEGEK          0.9291      Database    -15.3173    1775.9094   ✓       ✓
53    KFGEEVWKPTLEGEK          0.9291      Database    -15.3559    1775.9094   ✓       ✓
54    KFGEEVWKPTLEGEK          0.9291      Database    -15.4274    1775.9094   ✓       ✓
55    KFGEEVWKPTLEGEK          0.9291      Database    -15.5925    1775.9094   ✓       ✓
56    KFGEEVWKPTLEGEK          0.9291      Database    -15.6641    1775.9094   ✓       ✓
57    KFGEEVWKPTLEGEK          0.9291      Database    -15.8475    1775.9094   ✓       ✓
58    KFGEEVWKPTLEGEK          0.9291      Database    -15.9279    1775.9094   ✓       ✓
59    KFGEEVWKPTLEGEK          0.9291      Database    -16.0849    1775.9094   ✓       ✓
60    KFGEEVWKPTLEGEK          0.9291      Database    -16.1281    1775.9094   ✓       ✓
61    KFGEEVWKPTLEGEK          0.9291      Database    -16.1654    1775.9094   ✓       ✓
62    KFGEEVWKPTLEGEK          0.9291      Database    -16.2469    1775.9094   ✓       ✓
63    KFGEEVWKPTLEGEK          0.9291      Database    -16.3224    1775.9094   ✓       ✓
64    KFGEEVWKPTLEGEK          0.9291      Database    -16.3385    1775.9094   ✓       ✓
65    KFGEEVWKPTLEGEK          0.9291      Database    -16.3544    1775.9094   ✓       ✓
66    KFGEEVWKPTLEGEK          0.9291      Database    -16.4101    1775.9094   ✓       ✓
67    KFGEEVWKPTLEGEK          0.9291      Database    -16.4341    1775.9094   ✓       ✓
68    KFGEEVWKPTLEGEK          0.9291      Database    -16.4620    1775.9094   ✓       ✓
69    KFGEEVWKPTLEGEK          0.9291      Database    -16.4774    1775.9094   ✓       ✓
70    KFGEEVWKPTLEGEK          0.9291      Database    -16.5336    1775.9094   ✓       ✓
71    KFGEEVWKPTLEGEK          0.9291      Database    -16.5954    1775.9094   ✓       ✓
72    KFGEEVWKPTLEGEK          0.9291      Database    -16.6670    1775.9094   ✓       ✓
73    KFGEEVWKPTLEGEK          0.9291      Database    -16.6830    1775.9094   ✓       ✓
74    KFGEEVWKPTLEGEK          0.9291      Database    -16.6956    1775.9094   ✓       ✓
75    KFGEEVWKPTLEGEK          0.9291      Database    -16.7546    1775.9094   ✓       ✓
76    KFGEEVWKPTLEGEK          0.9291      Database    -16.7619    1775.9094   ✓       ✓
77    KFGEEVWKPTLEGEK          0.9291      Database    -16.7971    1775.9094   ✓       ✓
78    KFGEEVWKPTLEGEK          0.9291      Database    -16.8335    1775.9094   ✓       ✓
79    KFGEEVWKPTLEGEK          0.9291      Database    -16.8687    1775.9094   ✓       ✓
80    KFGEEVWKPTLEGEK          0.9291      Database    -17.1835    1775.9094   ✓       ✓
81    KFGEEVWKPTLEGEK          0.9291      Database    -17.1967    1775.9094   ✓       ✓
82    KFGEEVWKPTLEGEK          0.9291      Database    -17.1994    1775.9094   ✓       ✓
83    KFGEEVWKPTLEGEK          0.9291      Database    -17.2682    1775.9094   ✓       ✓
84    KFGEEVWKPTLEGEK          0.9291      Database    -17.3255    1775.9094   ✓       ✓
85    KFGEEVWKPTLEGEK          0.9291      Database    -17.3910    1775.9094   ✓       ✓
86    KFGEEVWKPTLEGEK          0.9291      Database    -17.4435    1775.9094   ✓       ✓
87    KFGEEVWKPTLEGEK          0.9291      Database    -17.4636    1775.9094   ✓       ✓
88    KFGEEVWKPTLEGEK          0.9291      Database    -17.4825    1775.9094   ✓       ✓
89    KFGEEVWKPTLEGEK          0.9291      Database    -17.5150    1775.9094   ✓       ✓
90    KFGEEVWKPTLEGEK          0.9291      Database    -17.5244    1775.9094   ✓       ✓
91    KFGEEVWKPTLEGEK          0.9291      Database    -17.5311    1775.9094   ✓       ✓
92    KFGEEVWKPTLEGEK          0.9291      Database    -17.5352    1775.9094   ✓       ✓
93    KFGEEVWKPTLEGEK          0.9291      Database    -17.6022    1775.9094   ✓       ✓
94    KFGEEVWKPTLEGEK          0.9291      Database    -17.6027    1775.9094   ✓       ✓
95    KFGEEVWKPTLEGEK          0.9291      Database    -17.6524    1775.9094   ✓       ✓
96    KFGEEVWKPTLEGEK          0.9291      Database    -17.6727    1775.9094   ✓       ✓
97    KFGEEVWKPTLEGEK          0.9291      Database    -17.7240    1775.9094   ✓       ✓
98    KFGEEVWKPTLEGEK          0.9291      Database    -17.7611    1775.9094   ✓       ✓
99    KFGEEVWKPTLEGEK          0.9291      Database    -17.7639    1775.9094   ✓       ✓
100   KFGEEVWKPTLEGEK          0.9291      Database    -17.8872    1775.9094   ✓       ✓
101   KFGEEVWKPTLEGEK          0.9291      Database    -17.9330    1775.9094   ✓       ✓
102   KFGEEVWKPTLEGEK          0.9291      Database    -18.0206    1775.9094   ✓       ✓
103   KFGEEVWKPTLEGEK          0.9291      Database    -18.0315    1775.9094   ✓       ✓
104   KFGEEVWKPTLEGEK          0.9291      Database    -18.1705    1775.9094   ✓       ✓
