================================================================================
Spectrum 36
================================================================================

Spectrum Information:
--------------------------------------------------------------------------------
Precursor m/z: 496.9486
Precursor charge: 3+
Ground truth: IKPIEIDGFSIEK
Ground truth (normalized): IKPIEIDGFSIEK

Beam Search Results:
--------------------------------------------------------------------------------
Total candidates: 1000
Passed mass check: 332
Used for reranking: 332

Candidate Statistics:
--------------------------------------------------------------------------------
Total candidates: 1000
Passed mass check: 332 (33.2%)
Database matches: 132 (13.2%)
Prosit predictions: 200 (20.0%)
Failed: 0 (0.0%)

Ground Truth Analysis:
--------------------------------------------------------------------------------
Ground truth found: ✓
Rank in beam search: 1/1000
Rank by similarity: 1/1000
Similarity: 0.9582
Source: Database
Passed mass check: ✓

All 1000 Candidates (sorted by similarity):
------------------------------------------------------------------------------------------------------------------------
Rank  Peptide                  Similarity  Source      BeamScore   Mass        Pass    Correct
------------------------------------------------------------------------------------------------------------------------
1     LKPLELDGFSLEK            0.9582      Database    -0.3954     1487.8235   ✓       ✓
2     LKPLELDGFSLEK            0.9582      Database    -1.3436     1487.8235   ✓       ✓
3     LKPLELDGFSLEK            0.9582      Database    -5.9801     1487.8235   ✓       ✓
4     LKPLELDGFSLEK            0.9582      Database    -6.9282     1487.8235   ✓       ✓
5     LKPLELDGFSLEK            0.9582      Database    -8.2034     1487.8235   ✓       ✓
6     LKPLELDGFSLEK            0.9582      Database    -8.2345     1487.8235   ✓       ✓
7     LKPLELDGFSLEK            0.9582      Database    -8.6010     1487.8235   ✓       ✓
8     LKPLELDGFSLEK            0.9582      Database    -9.1826     1487.8235   ✓       ✓
9     LKPLELDGFSLEK            0.9582      Database    -9.5492     1487.8235   ✓       ✓
10    LKPLELDGFSLEK            0.9582      Database    -10.3109    1487.8235   ✓       ✓
11    LKPLELDGFSLEK            0.9582      Database    -10.6984    1487.8235   ✓       ✓
12    LKPLELDGFSLEK            0.9582      Database    -11.2591    1487.8235   ✓       ✓
13    LKPLELDGFSLEK            0.9582      Database    -11.4921    1487.8235   ✓       ✓
14    LKPLELDGFSLEK            0.9582      Database    -11.6465    1487.8235   ✓       ✓
15    LKPLELDGFSLEK            0.9582      Database    -12.2229    1487.8235   ✓       ✓
16    LKPLELDGFSLEK            0.9582      Database    -12.4403    1487.8235   ✓       ✓
17    LKPLELDGFSLEK            0.9582      Database    -12.7944    1487.8235   ✓       ✓
18    LKPLELDGFSLEK            0.9582      Database    -12.8948    1487.8235   ✓       ✓
19    LKPLELDGFSLEK            0.9582      Database    -13.1711    1487.8235   ✓       ✓
